campaign_id,topology,candidate,returncode,runtime_s,params_json,ok,csv,case_count,validator_schema,target_gate,scenario_valid_count,eligible_count,invalid_scenario_count,stale_schema_count,l1_pass_count,l2_pass_count,l3_pass_count,voltage_survival_pass_count,full_frt_pass_count,control_score_sum,envelope_violation_max_pu,recovery_violation_max_pu,vdc_min,vdc_max,cmd_action_max_abs
gbt_v3_t2_l1_fixedplant_energy_sweep_20260803,topology2,t2_v3_l1_energy015_chop780_r4,0,93.082,"{""hpt_chopper_threshold"": 780.0, ""hpt_conventional_energy_scale"": 0.15, ""hpt_conventional_recovery_reg_gain"": 2.4, ""hpt_conventional_recovery_reg_max"": 0.44, ""hpt_energy_bridge_polarity"": -1.0, ""hpt_energy_control_sign"": -1.0, ""hpt_energy_i_ki"": 35.0, ""hpt_energy_i_kp"": 0.2, ""hpt_energy_vff_gain"": 0.0, ""hpt_inj_phase_offset"": -1.05, ""hpt_m_reg_max"": 0.6, ""hpt_rchop"": 4.0, ""hpt_sac_reg_max"": 0.6, ""hpt_sac_reg_q_gain"": -1.0, ""hpt_vdc_ki"": 0.02, ""hpt_vdc_kp"": 0.05, ""hpt_vreg_ki"": 0.35, ""hpt_vreg_kp"": 5.6}",True,E:\research_space\Hybrid-power-transformer\results\control_comparison\control_comparison_topology2_fault_all_gbt_v3_t2_l1_fixedplant_energy_sweep_20260803_topology2_t2_v3_l1_energy015_chop780_r4_20260803_211806.csv,2,hpt-frt-gates-v3-gbt19963.1,L1,2,2,0,0,2,0,0,2,0,5.923713688400707,0.0,0.0,772.569620947288,948.605718938031,0.552641449943729
gbt_v3_t2_l1_fixedplant_energy_sweep_20260803,topology2,t2_v3_l1_energy015_fixed_plant,0,91.144,"{""hpt_conventional_energy_scale"": 0.15, ""hpt_conventional_recovery_reg_gain"": 2.4, ""hpt_conventional_recovery_reg_max"": 0.44, ""hpt_energy_bridge_polarity"": -1.0, ""hpt_energy_control_sign"": -1.0, ""hpt_energy_i_ki"": 35.0, ""hpt_energy_i_kp"": 0.2, ""hpt_energy_vff_gain"": 0.0, ""hpt_inj_phase_offset"": -1.05, ""hpt_m_reg_max"": 0.6, ""hpt_sac_reg_max"": 0.6, ""hpt_sac_reg_q_gain"": -1.0, ""hpt_vdc_ki"": 0.02, ""hpt_vdc_kp"": 0.05, ""hpt_vreg_ki"": 0.35, ""hpt_vreg_kp"": 5.6}",True,E:\research_space\Hybrid-power-transformer\results\control_comparison\control_comparison_topology2_fault_all_gbt_v3_t2_l1_fixedplant_energy_sweep_20260803_topology2_t2_v3_l1_energy015_fixed_plant_20260803_211937.csv,2,hpt-frt-gates-v3-gbt19963.1,L1,2,2,0,0,1,0,0,1,0,116.44284639890813,0.0,0.0,795.560099550687,1038.40142083737,0.548279676231065
gbt_v3_t2_l1_fixedplant_energy_sweep_20260803,topology2,t2_v3_l1_energy030_fixed_plant,0,94.254,"{""hpt_conventional_energy_scale"": 0.3, ""hpt_conventional_recovery_reg_gain"": 2.4, ""hpt_conventional_recovery_reg_max"": 0.44, ""hpt_energy_bridge_polarity"": -1.0, ""hpt_energy_control_sign"": -1.0, ""hpt_energy_i_ki"": 35.0, ""hpt_energy_i_kp"": 0.2, ""hpt_energy_vff_gain"": 0.0, ""hpt_inj_phase_offset"": -1.05, ""hpt_m_reg_max"": 0.6, ""hpt_sac_reg_max"": 0.6, ""hpt_sac_reg_q_gain"": -1.0, ""hpt_vdc_ki"": 0.04, ""hpt_vdc_kp"": 0.1, ""hpt_vreg_ki"": 0.35, ""hpt_vreg_kp"": 5.6}",True,E:\research_space\Hybrid-power-transformer\results\control_comparison\control_comparison_topology2_fault_all_gbt_v3_t2_l1_fixedplant_energy_sweep_20260803_topology2_t2_v3_l1_energy030_fixed_plant_20260803_212111.csv,2,hpt-frt-gates-v3-gbt19963.1,L1,2,2,0,0,1,0,0,1,0,120.5728765633367,0.0,0.0,799.483363410691,1027.15299323744,0.548279676231065
gbt_v3_t2_l1_fixedplant_energy_sweep_20260803,topology2,t2_v3_l1_energy050_fixed_plant,0,115.567,"{""hpt_conventional_energy_scale"": 0.5, ""hpt_conventional_recovery_reg_gain"": 2.4, ""hpt_conventional_recovery_reg_max"": 0.44, ""hpt_energy_bridge_polarity"": -1.0, ""hpt_energy_control_sign"": -1.0, ""hpt_energy_i_ki"": 35.0, ""hpt_energy_i_kp"": 0.2, ""hpt_energy_vff_gain"": 0.0, ""hpt_inj_phase_offset"": -1.05, ""hpt_m_reg_max"": 0.6, ""hpt_sac_reg_max"": 0.6, ""hpt_sac_reg_q_gain"": -1.0, ""hpt_vdc_ki"": 0.05, ""hpt_vdc_kp"": 0.15, ""hpt_vreg_ki"": 0.35, ""hpt_vreg_kp"": 5.6}",True,E:\research_space\Hybrid-power-transformer\results\control_comparison\control_comparison_topology2_fault_all_gbt_v3_t2_l1_fixedplant_energy_sweep_20260803_topology2_t2_v3_l1_energy050_fixed_plant_20260803_212307.csv,2,hpt-frt-gates-v3-gbt19963.1,L1,2,2,0,0,1,0,0,1,0,115.85285370494724,0.0,0.0,780.576547384485,1038.38607389434,0.548225494360926
