trace_source,case_name,t,window_zone,x__t,x__dt,x__fault_pu,x__grid_pu,x__fault_a_pu,x__fault_b_pu,x__fault_c_pu,x__obs_01,x__obs_02,x__obs_03,x__obs_04,x__obs_05,x__obs_06,x__obs_07,x__obs_08,x__obs_09,x__obs_10,x__obs_11,x__obs_12,x__obs_13,x__obs_14,x__obs_15,x__obs_16,x__obs_17,x__obs_18,x__obs_19,x__obs_20,x__obs_21,x__obs_22,x__obs_23,x__obs_24,x__lv_pu_inst,x__vdc_pu_inst,x__action_01,x__action_02,x__action_03,x__action_04,x__win_fault,x__win_prefault,x__win_recovery,x__win_tail,x__src_rule_action,next_lv_pu_inst,next_vdc_pu_inst,next_obs_01,next_obs_02,next_obs_03,next_obs_04,next_obs_05,next_obs_06,next_obs_07,next_obs_08,next_obs_09,next_obs_10,next_obs_11,next_obs_12,next_obs_13,next_obs_14,next_obs_15,next_obs_16,next_obs_17,next_obs_18,next_obs_19,next_obs_20,next_obs_21,next_obs_22,next_obs_23,next_obs_24
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.02,prefault,0.02,0.0019999999999999983,0.825,0.825,0.825,1,1,0.977200316399956,1.11529719274013,0.0574663143032454,1.0620151774369,-0.0620151774369,0.0227996836000443,0.432522188970389,-0.282140882108017,0.0728991404254096,0.216455908453804,-0.0004613257447229,0.0083354599606471,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-1.12825575298814,0.9159293092032222,1.0620151774369,0.0736291318748164,0.21716982967442,-0.000461376252537,0.0083311917633047,False,True,False,False,True,0.9361407149868454,1.06129256154543,0.960194714609321,1.10786445615223,0.0295085780876969,1.06129256154543,-0.0612925615454301,0.0398052853906793,0.500187260260505,-0.254014011176427,0.160777339138951,0.237638788742713,-0.0004726788355312,0.0081211279660557,0,1,0,1,0,0,0.0,0,1.0,1.0,-3.80046501796105,-0.45222103121012
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.022,prefault,0.022,0.0020000000000000018,0.825,0.825,0.825,1,1,0.960194714609321,1.10786445615223,0.0295085780876969,1.06129256154543,-0.0612925615454301,0.0398052853906793,0.500187260260505,-0.254014011176427,0.160777339138951,0.237638788742713,-0.0004726788355312,0.0081211279660557,0,1,0,1,0,0,0.0,0,1.0,1.0,-3.80046501796105,-0.45222103121012,0.9361407149868454,1.06129256154543,0.161605716690926,0.238070271559477,-0.0004725057072119,0.0081142048870364,False,True,False,False,True,0.9714151769944926,1.0620690564421937,0.958479714035764,1.01805218237761,0.0357829329614609,1.06206905644219,-0.0620690564421935,0.0415202859642361,0.535065071448399,-0.214494345175855,0.217156480754739,0.242093555799994,-0.0004707769297668,0.0073029880650809,0,0,0,1,0,0,0.0,0,1.0,1.0,-4.1231578003893,-1.80991809269515
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.024,prefault,0.024,0.0019999999999999983,0.825,0.825,0.825,1,1,0.958479714035764,1.01805218237761,0.0357829329614609,1.06206905644219,-0.0620690564421935,0.0415202859642361,0.535065071448399,-0.214494345175855,0.217156480754739,0.242093555799994,-0.0004707769297668,0.0073029880650809,0,0,0,1,0,0,0.0,0,1.0,1.0,-4.1231578003893,-1.80991809269515,0.9714151769944926,1.0620690564421937,0.217361235391704,0.24246564172266,-0.0004707068096808,0.0072925171896741,False,True,False,False,True,0.9714555994730483,1.0672296201130225,0.963424675704738,0.989305691289523,0.0487092757317342,1.06722962011302,-0.0672296201130222,0.0365753242952624,0.564025072725202,-0.157052253799869,0.213339154933739,0.241005145343426,-0.000478710562028,0.0059138145657938,0,0,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.784493900321648
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.026,prefault,0.026,0.0020000000000000018,0.825,0.825,0.825,1,1,0.963424675704738,0.989305691289523,0.0487092757317342,1.06722962011302,-0.0672296201130222,0.0365753242952624,0.564025072725202,-0.157052253799869,0.213339154933739,0.241005145343426,-0.000478710562028,0.0059138145657938,0,0,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.784493900321648,0.9714555994730483,1.0672296201130225,0.21322558949076,0.241391743405513,-0.0004790507165456,0.0058934440682318,False,True,False,False,True,0.9711618768196281,1.0639217992246024,0.969677759205914,1.03031408473303,0.0683430928132684,1.0639217992246,-0.0639217992246024,0.0303222407940856,0.565046192747638,-0.0860967788421507,0.190107620680743,0.209712418688093,-0.0004838578311,0.0034362806465384,0,0,0,1,0,0,0.0,0,1.0,1.0,-3.30261116590247,-1.52755613017064
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.028,prefault,0.028,0.0019999999999999983,0.825,0.825,0.825,1,1,0.969677759205914,1.03031408473303,0.0683430928132684,1.0639217992246,-0.0639217992246024,0.0303222407940856,0.565046192747638,-0.0860967788421507,0.190107620680743,0.209712418688093,-0.0004838578311,0.0034362806465384,0,0,0,1,0,0,0.0,0,1.0,1.0,-3.30261116590247,-1.52755613017064,0.9711618768196281,1.0639217992246024,0.189836912928342,0.210420914198813,-0.0004837985732744,0.0034100709501985,False,True,False,False,True,0.9667449574839807,1.06260302912754,0.966597295547559,0.984998398823466,0.0371030595933827,1.06260302912754,-0.0626030291275397,0.0334027044524411,0.563511601208088,-0.0082884635067535,0.18277549432209,0.231362762559578,-0.0004925970025804,0.0007031715524436,0,0,0,1,0,0,0.0,0,1.0,1.0,-1.79832669045499,-1.8108431586441
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.03,prefault,0.03,0.0020000000000000018,0.825,0.825,0.825,1,1,0.966597295547559,0.984998398823466,0.0371030595933827,1.06260302912754,-0.0626030291275397,0.0334027044524411,0.563511601208088,-0.0082884635067535,0.18277549432209,0.231362762559578,-0.0004925970025804,0.0007031715524436,0,0,0,1,0,0,0.0,0,1.0,1.0,-1.79832669045499,-1.8108431586441,0.9667449574839807,1.06260302912754,0.182832559431237,0.231540990854391,-0.0004922893955412,0.0006655240103766,False,True,False,False,True,0.9352334158411063,1.0712456435889026,0.958354230330651,0.995839621340782,0.020042106196715,1.0712456435889,-0.071245643588902,0.0416457696693493,0.571899542075893,0.0622808210768838,0.190796266616097,0.129261623752361,-0.0004896218428129,-0.002426900786332,0,0,0,1,1,0,0.0156666666666661,0,0.997353405972809,1.12818341141962,-5.0,-0.734373871376315
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.032,prefault,0.032,0.0020000000000000018,0.825,0.825,0.825,1,1,0.958354230330651,0.995839621340782,0.020042106196715,1.0712456435889,-0.071245643588902,0.0416457696693493,0.571899542075893,0.0622808210768838,0.190796266616097,0.129261623752361,-0.0004896218428129,-0.002426900786332,0,0,0,1,1,0,0.0156666666666661,0,0.997353405972809,1.12818341141962,-5.0,-0.734373871376315,0.9352334158411063,1.0712456435889026,0.191362215197685,0.128952116992452,-0.0004902233367467,-0.0024581106635937,False,True,False,False,True,0.942567606045343,1.0677905458304549,0.950452059438244,1.03257549874008,0.0185675441462002,1.06779054583045,-0.0677905458304549,0.0495479405617557,0.564796499806163,0.106369072567908,0.223182818516177,0.0067993383118397,-0.00049505070195,-0.004414725300498,0,0,0,1,1,0,0.032333333333332,0,0.997353405972809,1.12818341141962,-5.0,-1.40147565064863
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.034,prefault,0.034,0.001999999999999995,0.825,0.825,0.825,1,1,0.950452059438244,1.03257549874008,0.0185675441462002,1.06779054583045,-0.0677905458304549,0.0495479405617557,0.564796499806163,0.106369072567908,0.223182818516177,0.0067993383118397,-0.00049505070195,-0.004414725300498,0,0,0,1,1,0,0.032333333333332,0,0.997353405972809,1.12818341141962,-5.0,-1.40147565064863,0.942567606045343,1.0677905458304549,0.223352468095603,0.0055385231927431,-0.0004952395965453,-0.0044307759861787,False,True,False,False,True,0.909837736960855,1.0706331009268513,0.942723186045285,0.959663208698415,0.0259330406162785,1.07063310092685,-0.0706331009268515,0.0572768139547146,0.535322262629886,0.143657994276819,0.260695780420586,-0.114937428686175,-0.0005207994664283,-0.0056447070405213,0,0,0,1,1,0,0.048999999999998,0,0.964119954045974,1.15673527003302,-3.32220562962915,-1.82454409526778
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.036,fault,0.036,0.0020000000000000018,0.825,0.825,0.825,1,1,0.942723186045285,0.959663208698415,0.0259330406162785,1.07063310092685,-0.0706331009268515,0.0572768139547146,0.535322262629886,0.143657994276819,0.260695780420586,-0.114937428686175,-0.0005207994664283,-0.0056447070405213,0,0,0,1,1,0,0.048999999999998,0,0.964119954045974,1.15673527003302,-3.32220562962915,-1.82454409526778,0.909837736960855,1.0706331009268513,0.262010975284351,-0.116580844290016,-0.0005209349014916,-0.0056555675813895,True,False,False,False,True,0.9412184570308116,1.0677139287180664,0.932860108506375,0.970529376264106,0.0206218902210166,1.06771392871807,-0.0677139287180661,0.0671398914936254,0.489459245617047,0.190823085027215,0.322936979411381,-0.177717574062979,-0.0004976721270768,-0.0063585436930413,0,0,0,1,1,0,0.065666666666664,0,0.964119954045974,1.15673527003302,-5.0,-0.764185681820795
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.038,fault,0.038,0.0020000000000000018,0.825,0.825,0.825,1,1,0.932860108506375,0.970529376264106,0.0206218902210166,1.06771392871807,-0.0677139287180661,0.0671398914936254,0.489459245617047,0.190823085027215,0.322936979411381,-0.177717574062979,-0.0004976721270768,-0.0063585436930413,0,0,0,1,1,0,0.065666666666664,0,0.964119954045974,1.15673527003302,-5.0,-0.764185681820795,0.9412184570308116,1.0677139287180664,0.323646130706648,-0.178948006408806,-0.0004978292217162,-0.0063724640753769,True,False,False,False,True,1.0249846646244687,1.0636963731447389,0.953348856371514,1.0838024870997,0.114057969621292,1.06369637314474,-0.0636963731447391,0.0466511436284864,0.458641887206241,0.246462431486153,0.28711747733881,-0.203149844319133,-0.000487762265741,-0.0079254810183024,0,1,0,1,1,0,0.08233333333333,0,0.964119954045974,1.15673527003302,-5.0,0.16144452253064
