validator_schema,model,topology,scenario_type,case_name,mode,guard_enable,grid_V,fault_pu,fault_a_pu,fault_b_pu,fault_c_pu,fault_start_s,fault_clear_s,fault_duration_s,fault_settle_s,lv_metric_source,stop_time_s,lv_mean,lv_a,lv_b,lv_c,lv_unbalance,lv_recovery_mean,lv_peak,lv_min,fault_lv_min,fault_lv_max,fault_lv_band_violation_max_pu,fault_lv_band_violation_mean_pu,fault_lv_band_violation_duration_s,fault_lv_band_pass,recovery_lv_min,recovery_lv_max,vdc_mean,vdc_min,vdc_max,action_max_abs,cmd_action_max_abs,bridge_modulation_abs_max,cmd_m_reg_d_mean,cmd_m_reg_q_mean,cmd_m_energy_d_mean,cmd_m_energy_q_mean,hpt_sac_enable_cmd,hpt_sac_energy_enable_cmd,hpt_sac_policy_mode_cmd,hpt_sac_actor_select_mode_cmd,cmd_m_reg_d_fault_mean,cmd_m_reg_q_fault_mean,cmd_m_energy_d_fault_mean,cmd_m_energy_q_fault_mean,cmd_m_reg_d_recovery_mean,cmd_m_reg_q_recovery_mean,cmd_m_energy_d_recovery_mean,cmd_m_energy_q_recovery_mean,action_fault_sample_count,action_fault_cmd_cols,action_recovery_sample_count,action_recovery_cmd_cols,meas_reg_d_mean,meas_reg_q_mean,meas_energy_d_mean,meas_energy_q_mean,meas_reg_d_fault_mean,meas_reg_q_fault_mean,meas_energy_d_fault_mean,meas_energy_q_fault_mean,meas_reg_d_recovery_mean,meas_reg_q_recovery_mean,meas_energy_d_recovery_mean,meas_energy_q_recovery_mean,reg_d_mean,reg_q_mean,energy_d_mean,energy_q_mean,obs_vpu_mean,obs_vpos_mean,obs_vdcpu_mean,obs_verr_mean,obs_fault_flag_mean,obs_recovery_flag_mean,obs_vpu_pre_mean,obs_vpos_pre_mean,obs_vneg_pre_mean,obs_vdcpu_pre_mean,obs_fault_flag_pre_mean,obs_recovery_flag_pre_mean,obs_vpu_fault_mean,obs_vpos_fault_mean,obs_vneg_fault_mean,obs_vdcpu_fault_mean,obs_fault_flag_fault_mean,obs_recovery_flag_fault_mean,obs_vpu_recovery_mean,obs_vpos_recovery_mean,obs_vneg_recovery_mean,obs_vdcpu_recovery_mean,obs_fault_flag_recovery_mean,obs_recovery_flag_recovery_mean,gbt_category,pcc_assessment_signal,pcc_fault_voltage_min_pu,pcc_fault_voltage_max_pu,pcc_envelope_violation_max_pu,pcc_envelope_violation_mean_pu,pcc_envelope_violation_duration_s,pcc_envelope_margin_min_pu,pcc_envelope_pass,scenario_valid,scenario_valid_reason,gbt_voltage_margin_min,gbt_voltage_envelope_pass,envelope_violation_max_pu,envelope_violation_mean_pu,envelope_violation_duration_s,envelope_margin_min_pu,envelope_pass,load_quality_violation_max_pu,load_quality_violation_duration_s,load_quality_pass,recovery_violation_max_pu,recovery_violation_mean_pu,recovery_violation_duration_s,recovery_envelope_pass,timestep_envelope_pass,gbt_recover_cover_s,gbt_recover_evaluated,gbt_recover_final_dev,gbt_recover_pass,gbt_vdc_pu_min,gbt_vdc_pu_max,gbt_vdc_survive_pass,gbt_action_limit_pass,grid_vpos_pu_min,grid_vpos_pu_mean,source_vpos_seq_pre_pu,source_vneg_seq_pre_pu,source_va_pre_pu,source_vb_pre_pu,source_vc_pre_pu,source_vabc_unbalance_pre_pu,source_vpos_seq_fault_pu,source_vneg_seq_fault_pu,source_va_fault_pu,source_vb_fault_pu,source_vc_fault_pu,source_vabc_unbalance_fault_pu,source_vpos_seq_recovery_pu,source_vneg_seq_recovery_pu,source_va_recovery_pu,source_vb_recovery_pu,source_vc_recovery_pu,source_vabc_unbalance_recovery_pu,grid_vpos_seq_pre_pu,grid_vneg_seq_pre_pu,grid_va_pre_pu,grid_vb_pre_pu,grid_vc_pre_pu,grid_vabc_unbalance_pre_pu,grid_vpos_seq_fault_pu,grid_vneg_seq_fault_pu,grid_va_fault_pu,grid_vb_fault_pu,grid_vc_fault_pu,grid_vabc_unbalance_fault_pu,grid_vpos_seq_recovery_pu,grid_vneg_seq_recovery_pu,grid_va_recovery_pu,grid_vb_recovery_pu,grid_vc_recovery_pu,grid_vabc_unbalance_recovery_pu,grid_id_mean_pu,grid_iq_mean_pu,grid_iq_ref_mean_pu,grid_iq_shortfall_max_pu,grid_iq_met_fraction,grid_iq_wrong_sign,grid_current_limit_pu,grid_current_eval_start_s,grid_current_peak_global_pu,grid_current_peak_fault_pu,grid_current_peak_recovery_pu,grid_current_peak_pu,grid_idq_peak_pu,gbt_reactive_evaluated,gbt_reactive_response_ms,gbt_reactive_response_pass,gbt_grid_current_limit_pass,voltage_survival_current_gate,gbt_reactive_status,gbt_reactive_pass,gbt_limit_status,gbt_certifiable,remained_connected_evaluated,remained_connected,remained_connected_evidence,simulation_completed,equipment_safety_pass,active_power_recovery_evaluated,active_power_recovery_pass,l1_load_voltage_survival_pass,l1_reason,l2_grid_code_ride_through_pass,l2_reason,l3_full_frt_pass,l3_reason,voltage_survival_pass,voltage_survival_reason,full_frt_pass,full_frt_reason,within_window,window_reason,control_score
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,steady,grid_9000V,conventional_dq,0,9000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,instant_three_phase_rms,NaN,195.498164670733,195.954433650797,196.499947110923,194.040113250478,2.45983386044497,NaN,232.408143730095,7.76894140075445,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,856.819989551986,771.717028395748,881.706000852893,0.95,0.730486171281571,0.95,0.338745876043359,-0.150059474072016,-0.0151230885209385,-0.0820706727185984,1,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.339980006286211,0.146401214268144,0.949999999999995,0.949999999999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.339980006286211,0.146401214268144,0.949999999999995,0.949999999999995,0.94442446448779,0.990765759871334,1.07102498693998,0.0555755355122098,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0,not_evaluated,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,,0,,0,0,0,not_evaluated,0,0,0,0,0,steady_lv,0,not_fault_scenario,0,not_fault_scenario,0,steady_lv,0,steady_lv,0,steady_lv,102.792333837942
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,steady,grid_10000V,conventional_dq,0,10000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,instant_three_phase_rms,NaN,196.530610656948,196.873652606999,197.380831964135,195.337347399709,2.04348456442614,NaN,242.238315185792,8.81860534915542,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,928.783071609247,771.486040489509,978.613875775087,0.95,0.728991368035574,0.95,0.343704994222765,-0.108045589590777,-0.0860831441093541,-0.0663655452384522,1,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.344794758566374,0.101838496624213,0.949999999999995,0.936904243139202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.344794758566374,0.101838496624213,0.949999999999995,0.936904243139202,0.948716678265597,0.919331070292284,1.16097883951156,0.0512833217344028,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0,not_evaluated,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,,0,,0,0,0,not_evaluated,0,0,0,0,0,steady_lv,0,not_fault_scenario,0,not_fault_scenario,0,steady_lv,0,steady_lv,0,steady_lv,102.502574781496
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,steady,grid_11000V,conventional_dq,0,11000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,instant_three_phase_rms,NaN,216.761140343412,218.639330073958,215.054573877297,216.589517078981,3.58475619666129,NaN,261.499924929106,9.70053391244704,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,1037.18950048122,771.347385938781,1214.55608525272,0.95,0.728335943419147,0.95,-0.00186850349335785,-0.0255669654957537,-0.202120834066156,-0.103928329336965,1,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0133625802011084,0.021963501762105,0.949999999999995,0.949999999999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0133625802011084,0.021963501762105,0.949999999999995,0.949999999999995,1.04479229889714,1.28526668867499,1.29648687560153,-0.0447922988971353,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,0,0,not_evaluated,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,,0,,0,0,0,not_evaluated,0,0,0,0,0,steady_lv;steady_vdc,0,not_fault_scenario,0,not_fault_scenario,0,steady_lv;steady_vdc,0,steady_lv;steady_vdc,0,steady_lv;steady_vdc,113.388129356137
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,fault,sag_0p90,conventional_dq,0,NaN,0.9,0.9,0.9,0.9,0.035,0.095,0.06,0,instant_three_phase_rms,0.22,192.5929961113,NaN,NaN,NaN,NaN,201.75291590415,210.431393651904,183.176066835784,183.176066835784,204.898300974096,0,0,0,1,189.890424231764,210.431393651904,873.556412159431,772.346312264891,1010.34899283084,0.95,0.728867995182962,0.95,0.0696754817099714,0.11881544968005,-0.0320544756939455,-0.0932676214945908,1,1,0,0,0.460287742178778,-0.155251882222244,-0.019853392519099,-0.0501159507085484,0.111518475730957,0.10373159966432,-0.0653425514871398,-0.0912763053016036,3001,11001,5000,11001,0.06562435986718,-0.121302040737177,0.950000000000011,0.950000000000011,0.44071567223693,0.164558903084084,0.950000000000007,0.936425546630143,0.105943201818984,-0.111511350920962,0.950000000000022,0.950000000000022,0.06562435986718,-0.121302040737177,0.950000000000011,0.950000000000011,0.97851175471444,1.15506745259392,1.09194551519929,0.0214882452855602,0.00333232353832172,0.996364737958194,NaN,NaN,NaN,NaN,NaN,NaN,0.93118279690127,0.818266335361351,0.0410316825535569,1.0776770865339,1,0,0.971809381753755,1.10835933371782,0.0355802404334133,1.13492058631163,0.1624,0.8376,LVRT,pcc_min_line_rms_pu,0.558943131109128,0.641457305385853,0,0,0,0.358943131109128,1,1,pass,0.358943131109128,1,0.0126549554021079,6.98313953315146e-05,0.000879999999999964,-0.0126549554021079,0,0.0126549554021079,0.000879999999999964,0,0.0126549554021079,6.98313953315146e-05,0.000879999999999964,0,0,0.125,1,0.0126549554021079,0,0.965432890331113,1.26293624103855,0,1,0.484612665182953,0.585438730427291,NaN,NaN,NaN,NaN,NaN,NaN,0.584607294753473,0.00310231701264582,0.590129656286477,0.591652052161526,0.585550732161816,0.00610131999971072,0.800105428482062,0.00258998077748529,0.805879049858966,0.807809107393088,0.803046321252659,0.00476278614042931,NaN,NaN,NaN,NaN,NaN,NaN,0.584607294753473,0.00310231701264582,0.590129656286477,0.591652052161526,0.585550732161816,0.00610131999971072,0.800105428482062,0.00258998077748529,0.805879049858966,0.807809107393088,0.803046321252659,0.00476278614042931,1.76694060348957,0.0599843094482345,0.3,0.120015690551765,0,0,1.5,0.055,1.87034899721296,1.79467017689448,1.71870402117737,1.87034899721296,1.8761893609767,1,Inf,0,0,1,reactive_shortfall,0,grid_current_eval_peak_pu=1.870;grid_current_global_peak_pu=1.870;action_max=0.729,0,0,0,continuous_switch_level_run_no_explicit_trip_interface,1,0,0,0,0,timestep_recovery_envelope;dc_link_bounds;grid_current_limit,0,l1_load_voltage_survival;connection_status_not_evaluated;equipment_safety,0,l2_grid_code_ride_through;reactive_shortfall;active_power_recovery_not_evaluated,0,timestep_recovery_envelope;dc_link_bounds;grid_current_limit,0,l2_grid_code_ride_through;reactive_shortfall;active_power_recovery_not_evaluated,0,timestep_recovery_envelope;dc_link_bounds;grid_current_limit,128.32941211026
