validator_schema,model,topology,scenario_type,case_name,mode,guard_enable,grid_V,fault_pu,fault_a_pu,fault_b_pu,fault_c_pu,fault_start_s,fault_clear_s,fault_duration_s,fault_settle_s,lv_metric_source,stop_time_s,lv_mean,lv_a,lv_b,lv_c,lv_unbalance,lv_recovery_mean,lv_peak,lv_min,fault_lv_min,fault_lv_max,fault_lv_band_violation_max_pu,fault_lv_band_violation_mean_pu,fault_lv_band_violation_duration_s,fault_lv_band_pass,recovery_lv_min,recovery_lv_max,vdc_mean,vdc_min,vdc_max,action_max_abs,cmd_action_max_abs,bridge_modulation_abs_max,cmd_m_reg_d_mean,cmd_m_reg_q_mean,cmd_m_energy_d_mean,cmd_m_energy_q_mean,hpt_sac_enable_cmd,hpt_sac_energy_enable_cmd,hpt_sac_policy_mode_cmd,hpt_sac_actor_select_mode_cmd,cmd_m_reg_d_fault_mean,cmd_m_reg_q_fault_mean,cmd_m_energy_d_fault_mean,cmd_m_energy_q_fault_mean,cmd_m_reg_d_recovery_mean,cmd_m_reg_q_recovery_mean,cmd_m_energy_d_recovery_mean,cmd_m_energy_q_recovery_mean,action_fault_sample_count,action_fault_cmd_cols,action_recovery_sample_count,action_recovery_cmd_cols,meas_reg_d_mean,meas_reg_q_mean,meas_energy_d_mean,meas_energy_q_mean,meas_reg_d_fault_mean,meas_reg_q_fault_mean,meas_energy_d_fault_mean,meas_energy_q_fault_mean,meas_reg_d_recovery_mean,meas_reg_q_recovery_mean,meas_energy_d_recovery_mean,meas_energy_q_recovery_mean,reg_d_mean,reg_q_mean,energy_d_mean,energy_q_mean,obs_vpu_mean,obs_vpos_mean,obs_vdcpu_mean,obs_verr_mean,obs_fault_flag_mean,obs_recovery_flag_mean,obs_vpu_pre_mean,obs_vpos_pre_mean,obs_vneg_pre_mean,obs_vdcpu_pre_mean,obs_fault_flag_pre_mean,obs_recovery_flag_pre_mean,obs_vpu_fault_mean,obs_vpos_fault_mean,obs_vneg_fault_mean,obs_vdcpu_fault_mean,obs_fault_flag_fault_mean,obs_recovery_flag_fault_mean,obs_vpu_recovery_mean,obs_vpos_recovery_mean,obs_vneg_recovery_mean,obs_vdcpu_recovery_mean,obs_fault_flag_recovery_mean,obs_recovery_flag_recovery_mean,gbt_category,pcc_assessment_signal,pcc_fault_voltage_min_pu,pcc_fault_voltage_max_pu,pcc_envelope_violation_max_pu,pcc_envelope_violation_mean_pu,pcc_envelope_violation_duration_s,pcc_envelope_margin_min_pu,pcc_envelope_pass,scenario_valid,scenario_valid_reason,gbt_voltage_margin_min,gbt_voltage_envelope_pass,envelope_violation_max_pu,envelope_violation_mean_pu,envelope_violation_duration_s,envelope_margin_min_pu,envelope_pass,load_quality_violation_max_pu,load_quality_violation_duration_s,load_quality_pass,recovery_violation_max_pu,recovery_violation_mean_pu,recovery_violation_duration_s,recovery_envelope_pass,timestep_envelope_pass,gbt_recover_cover_s,gbt_recover_evaluated,gbt_recover_final_dev,gbt_recover_pass,gbt_vdc_pu_min,gbt_vdc_pu_max,gbt_vdc_survive_pass,gbt_action_limit_pass,grid_vpos_pu_min,grid_vpos_pu_mean,source_vpos_seq_pre_pu,source_vneg_seq_pre_pu,source_va_pre_pu,source_vb_pre_pu,source_vc_pre_pu,source_vabc_unbalance_pre_pu,source_vpos_seq_fault_pu,source_vneg_seq_fault_pu,source_va_fault_pu,source_vb_fault_pu,source_vc_fault_pu,source_vabc_unbalance_fault_pu,source_vpos_seq_recovery_pu,source_vneg_seq_recovery_pu,source_va_recovery_pu,source_vb_recovery_pu,source_vc_recovery_pu,source_vabc_unbalance_recovery_pu,grid_vpos_seq_pre_pu,grid_vneg_seq_pre_pu,grid_va_pre_pu,grid_vb_pre_pu,grid_vc_pre_pu,grid_vabc_unbalance_pre_pu,grid_vpos_seq_fault_pu,grid_vneg_seq_fault_pu,grid_va_fault_pu,grid_vb_fault_pu,grid_vc_fault_pu,grid_vabc_unbalance_fault_pu,grid_vpos_seq_recovery_pu,grid_vneg_seq_recovery_pu,grid_va_recovery_pu,grid_vb_recovery_pu,grid_vc_recovery_pu,grid_vabc_unbalance_recovery_pu,grid_id_mean_pu,grid_iq_mean_pu,grid_iq_ref_mean_pu,grid_iq_shortfall_max_pu,grid_iq_met_fraction,grid_iq_wrong_sign,grid_current_limit_pu,grid_current_eval_start_s,grid_current_peak_global_pu,grid_current_peak_fault_pu,grid_current_peak_recovery_pu,grid_current_peak_pu,grid_idq_peak_pu,gbt_reactive_evaluated,gbt_reactive_response_ms,gbt_reactive_response_pass,gbt_grid_current_limit_pass,voltage_survival_current_gate,gbt_reactive_status,gbt_reactive_pass,gbt_limit_status,gbt_certifiable,remained_connected_evaluated,remained_connected,remained_connected_evidence,simulation_completed,equipment_safety_pass,active_power_recovery_evaluated,active_power_recovery_pass,l1_load_voltage_survival_pass,l1_reason,l2_grid_code_ride_through_pass,l2_reason,l3_full_frt_pass,l3_reason,voltage_survival_pass,voltage_survival_reason,full_frt_pass,full_frt_reason,within_window,window_reason,control_score
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,fault,lvrt_240ms_0p850pu,conventional_dq,0,NaN,0.85,0.85,1,1,0.08,0.32,0.24,0,controller_filtered_lv_pu,0.445,204.154022416973,NaN,NaN,NaN,NaN,206.731258772826,209.675369784299,199.105396916065,199.105396916065,209.675369784299,0,0,0,1,206.006943742482,207.672792914488,850.943435311364,799.726215904551,977.392340013721,0.95,0.552642064462243,0.95,0.00725355403647035,0.0610801956195907,0,0,1,1,0,0,0.0562679395431219,0.0425577942412168,0,0,0.00455169705440337,0.0631197244882432,0,0,12001,22251,5000,22251,0.0052961110881407,-0.0603657870370285,0.950000000000028,0.950000000000028,0.0550657889689896,-0.045342558350221,0.949999999999972,0.949999999999972,0.00324641858262087,-0.0627040509049706,0.950000000000022,0.950000000000022,0.0052961110881407,-0.0603657870370285,0.950000000000028,0.950000000000028,0.998443006833292,1.015875832084,1.06367929413921,0.00155699316670745,0.267076093469143,0.727980826842421,0.993279654463447,1.05229816171143,0.0428511711429307,1.17505828101753,0.1575,0,0.986301021208616,0.974069231325457,0.0483156800156841,1.0636715369668,0.664194650445796,0.333388884259645,0.998743082169963,1.01841698589313,0.0223064608236939,1.06380669656941,0.2124,0.781,LVRT,pcc_phase_a_rms_pu,0.772184215011676,0.850083574461008,0,0,0,0.572184215011676,1,1,pass,0.572184215011676,1,0,0,0,-0,1,0,0,1,0,0,0,1,1,0.125,1,0,1,0.999657769880689,1.22174042501715,1,1,0.725240815855297,0.858004281925707,1,0.0034057024775411,0.998307580374142,1.00101874982413,1.00067149328242,0.00271116944998832,0.950012015095907,0.0502284247949913,0.849897865720906,1.00011380526557,1.00000633899495,0.150215939544666,1,0.00306790177744747,0.99896207564674,1.00149615787565,0.999540002791216,0.00253408222891356,0.802075198023551,0.00577538532842072,0.811748833724809,0.801564408207111,0.805722153111556,0.0101844255176974,0.857264938739478,0.0360088104665453,0.780412599112839,0.900448203779519,0.895866446961965,0.12003560466668,0.897076664795562,0.00164765748271029,0.895919815826382,0.898061559586392,0.899327568608691,0.0034077527823095,1.14469425661936,-0.125895369340562,0.0694181565820127,0.2561481030644,0.000600961538461538,1,1.5,0.1,1.53996192003819,1.28504528420804,1.17217162854717,1.28504528420804,1.55159884727981,1,104.84,0,1,1,reactive_wrong_sign,0,grid_current_eval_peak_pu=1.285;grid_current_global_peak_pu=1.540;action_max=0.553,0,0,0,continuous_switch_level_run_no_explicit_trip_interface,1,1,0,0,1,,0,connection_status_not_evaluated,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,10.8688678846161
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,fault,lvrt_240ms_0p850pu,fixed_action,0,NaN,0.85,0.85,1,1,0.08,0.32,0.24,0,controller_filtered_lv_pu,0.445,207.463518831205,NaN,NaN,NaN,NaN,214.441163095244,215.270662796149,194.889202603493,194.889202603493,215.270662796149,0,0,0,1,213.571808916117,214.937618528173,698.459803907092,638.360618909364,937.030570377127,0.95,0.08,0.95,0.0799999999999991,0.0399999999999995,0.0219999999999992,0.00199999999999991,1,1,-1,0,0.080000000000005,0.0400000000000025,0.0219999999999991,0.00199999999999985,0.0799999999999986,0.0399999999999993,0.0219999999999994,0.00199999999999996,12001,22251,5000,22251,0.050269429421212,-0.0726798875518567,0.912500249470365,0.950000000000028,0.0639586697696874,-0.0581052451189194,0.858398122130113,0.949999999999972,0.0473819215962533,-0.07586139184282,0.915758445550938,0.950000000000022,0.050269429421212,-0.0726798875518567,0.912500249470365,0.950000000000028,1.03043284552952,1.09158621401745,0.873074754883864,-0.0304328455295236,0.173756740563211,0.823846614739365,0.958097426258576,1.01939693198237,0.0274651342699704,1.1391544147839,0,0,0.997421737612836,1.04282672205176,0.0460930067003471,0.972648982384992,0.660611615698692,0.333388884259645,1.03574434883998,1.09638804444641,0.0212641300880096,0.87728880643491,0.0468,0.95,LVRT,pcc_phase_a_rms_pu,0.73944379479561,0.84758788974198,0,0,0,0.53944379479561,1,1,pass,0.53944379479561,1,0,0,0,-0,1,0,0,1,0,0,0,1,1,0.125,1,0,1,0.797950773636705,1.17128821297141,1,1,0.713274503322494,0.861764085921881,1,0.00299389046373533,0.998561683756149,1.00108040987654,1.00035622489967,0.00251872612038736,0.950001058020682,0.0500278835663098,0.849991016450943,0.999602482486756,1.0004079241275,0.150416907676561,1,0.000582792424955419,0.999708864603955,1.00013402855352,1.00015704314951,0.000448178545557197,0.80063643141094,0.00324050299884028,0.805060847220471,0.801340881663936,0.799303524789381,0.00575732243109047,0.860079559532252,0.0356328247913068,0.783745207053794,0.900426497684784,0.901640945858385,0.117895738804591,0.905379018901426,0.000965370392513833,0.906681058698049,0.904655943433898,0.905976692732937,0.00202511526415161,0.981852296082196,-0.0743574095823098,0.0475493574795329,0.19731876014259,0.0971922246220302,1,1.5,0.1,1.45460754445833,1.32542371098593,0.991852391138143,1.32542371098593,1.45418793151701,1,164.52,0,1,1,reactive_wrong_sign,0,grid_current_eval_peak_pu=1.325;grid_current_global_peak_pu=1.455;action_max=0.080,0,0,0,continuous_switch_level_run_no_explicit_trip_interface,1,0,0,0,0,dc_link_bounds,0,l1_load_voltage_survival;connection_status_not_evaluated;equipment_safety,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,0,dc_link_bounds,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,0,dc_link_bounds,110.637624900057
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,fault,lvrt_240ms_0p850pu,trajectory_action,0,NaN,0.85,0.85,1,1,0.08,0.32,0.24,0,controller_filtered_lv_pu,0.445,207.463518831205,NaN,NaN,NaN,NaN,214.441163095244,215.270662796149,194.889202603493,194.889202603493,215.270662796149,0,0,0,1,213.571808916117,214.937618528173,698.459803907092,638.360618909364,937.030570377127,0.95,0.08,0.95,0.0799999999999991,0.0399999999999995,0.0219999999999992,0.00199999999999991,1,1,-2,0,0.080000000000005,0.0400000000000025,0.0219999999999991,0.00199999999999985,0.0799999999999986,0.0399999999999993,0.0219999999999994,0.00199999999999996,12001,22251,5000,22251,0.050269429421212,-0.0726798875518567,0.912500249470365,0.950000000000028,0.0639586697696874,-0.0581052451189194,0.858398122130113,0.949999999999972,0.0473819215962533,-0.07586139184282,0.915758445550938,0.950000000000022,0.050269429421212,-0.0726798875518567,0.912500249470365,0.950000000000028,1.03043284552952,1.09158621401745,0.873074754883864,-0.0304328455295236,0.173756740563211,0.823846614739365,0.958097426258576,1.01939693198237,0.0274651342699704,1.1391544147839,0,0,0.997421737612836,1.04282672205176,0.0460930067003471,0.972648982384992,0.660611615698692,0.333388884259645,1.03574434883998,1.09638804444641,0.0212641300880096,0.87728880643491,0.0468,0.95,LVRT,pcc_phase_a_rms_pu,0.73944379479561,0.84758788974198,0,0,0,0.53944379479561,1,1,pass,0.53944379479561,1,0,0,0,-0,1,0,0,1,0,0,0,1,1,0.125,1,0,1,0.797950773636705,1.17128821297141,1,1,0.713274503322494,0.861764085921881,1,0.00299389046373533,0.998561683756149,1.00108040987654,1.00035622489967,0.00251872612038736,0.950001058020682,0.0500278835663098,0.849991016450943,0.999602482486756,1.0004079241275,0.150416907676561,1,0.000582792424955419,0.999708864603955,1.00013402855352,1.00015704314951,0.000448178545557197,0.80063643141094,0.00324050299884028,0.805060847220471,0.801340881663936,0.799303524789381,0.00575732243109047,0.860079559532252,0.0356328247913068,0.783745207053794,0.900426497684784,0.901640945858385,0.117895738804591,0.905379018901426,0.000965370392513833,0.906681058698049,0.904655943433898,0.905976692732937,0.00202511526415161,0.981852296082196,-0.0743574095823098,0.0475493574795329,0.19731876014259,0.0971922246220302,1,1.5,0.1,1.45460754445833,1.32542371098593,0.991852391138143,1.32542371098593,1.45418793151701,1,164.52,0,1,1,reactive_wrong_sign,0,grid_current_eval_peak_pu=1.325;grid_current_global_peak_pu=1.455;action_max=0.080,0,0,0,continuous_switch_level_run_no_explicit_trip_interface,1,0,0,0,0,dc_link_bounds,0,l1_load_voltage_survival;connection_status_not_evaluated;equipment_safety,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,0,dc_link_bounds,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,0,dc_link_bounds,110.637624900057
