validator_schema,model,topology,scenario_type,case_name,mode,guard_enable,grid_V,fault_pu,fault_a_pu,fault_b_pu,fault_c_pu,fault_start_s,fault_clear_s,fault_duration_s,fault_settle_s,lv_metric_source,stop_time_s,lv_mean,lv_a,lv_b,lv_c,lv_unbalance,lv_recovery_mean,lv_peak,lv_min,fault_lv_min,fault_lv_max,fault_lv_band_violation_max_pu,fault_lv_band_violation_mean_pu,fault_lv_band_violation_duration_s,fault_lv_band_pass,recovery_lv_min,recovery_lv_max,vdc_mean,vdc_min,vdc_max,action_max_abs,cmd_action_max_abs,bridge_modulation_abs_max,cmd_m_reg_d_mean,cmd_m_reg_q_mean,cmd_m_energy_d_mean,cmd_m_energy_q_mean,hpt_sac_enable_cmd,hpt_sac_energy_enable_cmd,hpt_sac_policy_mode_cmd,hpt_sac_actor_select_mode_cmd,cmd_m_reg_d_fault_mean,cmd_m_reg_q_fault_mean,cmd_m_energy_d_fault_mean,cmd_m_energy_q_fault_mean,cmd_m_reg_d_recovery_mean,cmd_m_reg_q_recovery_mean,cmd_m_energy_d_recovery_mean,cmd_m_energy_q_recovery_mean,action_fault_sample_count,action_fault_cmd_cols,action_recovery_sample_count,action_recovery_cmd_cols,meas_reg_d_mean,meas_reg_q_mean,meas_energy_d_mean,meas_energy_q_mean,meas_reg_d_fault_mean,meas_reg_q_fault_mean,meas_energy_d_fault_mean,meas_energy_q_fault_mean,meas_reg_d_recovery_mean,meas_reg_q_recovery_mean,meas_energy_d_recovery_mean,meas_energy_q_recovery_mean,reg_d_mean,reg_q_mean,energy_d_mean,energy_q_mean,obs_vpu_mean,obs_vpos_mean,obs_vdcpu_mean,obs_verr_mean,obs_fault_flag_mean,obs_recovery_flag_mean,obs_vpu_pre_mean,obs_vpos_pre_mean,obs_vneg_pre_mean,obs_vdcpu_pre_mean,obs_fault_flag_pre_mean,obs_recovery_flag_pre_mean,obs_vpu_fault_mean,obs_vpos_fault_mean,obs_vneg_fault_mean,obs_vdcpu_fault_mean,obs_fault_flag_fault_mean,obs_recovery_flag_fault_mean,obs_vpu_recovery_mean,obs_vpos_recovery_mean,obs_vneg_recovery_mean,obs_vdcpu_recovery_mean,obs_fault_flag_recovery_mean,obs_recovery_flag_recovery_mean,gbt_category,pcc_assessment_signal,pcc_fault_voltage_min_pu,pcc_fault_voltage_max_pu,pcc_envelope_violation_max_pu,pcc_envelope_violation_mean_pu,pcc_envelope_violation_duration_s,pcc_envelope_margin_min_pu,pcc_envelope_pass,scenario_valid,scenario_valid_reason,gbt_voltage_margin_min,gbt_voltage_envelope_pass,envelope_violation_max_pu,envelope_violation_mean_pu,envelope_violation_duration_s,envelope_margin_min_pu,envelope_pass,load_quality_violation_max_pu,load_quality_violation_duration_s,load_quality_pass,recovery_violation_max_pu,recovery_violation_mean_pu,recovery_violation_duration_s,recovery_envelope_pass,timestep_envelope_pass,gbt_recover_cover_s,gbt_recover_evaluated,gbt_recover_final_dev,gbt_recover_pass,gbt_vdc_pu_min,gbt_vdc_pu_max,gbt_vdc_survive_pass,gbt_action_limit_pass,grid_vpos_pu_min,grid_vpos_pu_mean,source_vpos_seq_pre_pu,source_vneg_seq_pre_pu,source_va_pre_pu,source_vb_pre_pu,source_vc_pre_pu,source_vabc_unbalance_pre_pu,source_vpos_seq_fault_pu,source_vneg_seq_fault_pu,source_va_fault_pu,source_vb_fault_pu,source_vc_fault_pu,source_vabc_unbalance_fault_pu,source_vpos_seq_recovery_pu,source_vneg_seq_recovery_pu,source_va_recovery_pu,source_vb_recovery_pu,source_vc_recovery_pu,source_vabc_unbalance_recovery_pu,grid_vpos_seq_pre_pu,grid_vneg_seq_pre_pu,grid_va_pre_pu,grid_vb_pre_pu,grid_vc_pre_pu,grid_vabc_unbalance_pre_pu,grid_vpos_seq_fault_pu,grid_vneg_seq_fault_pu,grid_va_fault_pu,grid_vb_fault_pu,grid_vc_fault_pu,grid_vabc_unbalance_fault_pu,grid_vpos_seq_recovery_pu,grid_vneg_seq_recovery_pu,grid_va_recovery_pu,grid_vb_recovery_pu,grid_vc_recovery_pu,grid_vabc_unbalance_recovery_pu,grid_id_mean_pu,grid_iq_mean_pu,grid_iq_ref_mean_pu,grid_iq_shortfall_max_pu,grid_iq_met_fraction,grid_iq_wrong_sign,grid_current_limit_pu,grid_current_eval_start_s,grid_current_peak_global_pu,grid_current_peak_fault_pu,grid_current_peak_recovery_pu,grid_current_peak_pu,grid_idq_peak_pu,gbt_reactive_evaluated,gbt_reactive_response_ms,gbt_reactive_response_pass,gbt_grid_current_limit_pass,voltage_survival_current_gate,gbt_reactive_status,gbt_reactive_pass,gbt_limit_status,gbt_certifiable,remained_connected_evaluated,remained_connected,remained_connected_evidence,simulation_completed,equipment_safety_pass,active_power_recovery_evaluated,active_power_recovery_pass,l1_load_voltage_survival_pass,l1_reason,l2_grid_code_ride_through_pass,l2_reason,l3_full_frt_pass,l3_reason,voltage_survival_pass,voltage_survival_reason,full_frt_pass,full_frt_reason,within_window,window_reason,control_score
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,fault,lvrt_200ms_0p875pu,conventional_dq,0,NaN,0.875,0.875,1,1,0.08,0.28,0.2,0,controller_filtered_lv_pu,0.405,204.202316278305,NaN,NaN,NaN,NaN,206.512124034421,209.595732942791,200.313539586315,200.313539586315,209.595732942791,0,0,0,1,205.72104766346,207.880939466085,851.301820043339,799.726215904551,977.392340013721,0.95,0.552642064462243,0.95,0.00627703863794933,0.0701823696328479,0,0,1,1,0,0,0.0515726058259968,0.0400091607830162,0,0,0.00733907681407219,0.0720978140493285,0,0,10001,20251,5001,20251,0.00423726107300626,-0.0693497942420591,0.950000000000026,0.950000000000026,0.0515113779096529,-0.0431300803223709,0.950000000000003,0.950000000000003,0.00676428507589554,-0.0718974173803498,0.950000000000022,0.950000000000022,0.00423726107300626,-0.0693497942420591,0.950000000000026,0.950000000000026,0.998134350075899,1.01554732659836,1.06412727505417,0.00186564992410087,0.340026333113891,0.658327847267939,0.993279654463447,1.05229816171143,0.0428511711429307,1.17505828101753,0.1575,0,0.98665073915808,0.980488787094815,0.0425675441453007,1.06420151725726,0.595140485951405,0.4000599940006,0.997743937179931,1.01425499868309,0.0250001823265831,1.06414806610753,0.264547090581884,0.733453309338132,LVRT,pcc_phase_a_rms_pu,0.790602116871301,0.853007246767892,0,0,0,0.590602116871301,1,1,pass,0.590602116871301,1,0,0,0,-0,1,0,0,1,0,0,0,1,1,0.125,1,0,1,0.999657769880689,1.22174042501715,1,1,0.735928637724878,0.863521157339587,1,0.0034057024775411,0.998307580374142,1.00101874982413,1.00067149328242,0.00271116944998832,0.958280613241244,0.0404603696549004,0.875553391231325,1.00000567970927,0.999361469297673,0.124452288477949,1,0.00224981386377371,1.00025023179064,1.00082431183366,0.998924506980115,0.00189980485354212,0.802075198023551,0.00577538532842072,0.811748833724809,0.801564408207111,0.805722153111556,0.0101844255176974,0.862867995572612,0.0300891992545602,0.798523637247811,0.8993810921132,0.894857559145216,0.100857454865389,0.893358921520445,0.00293303823350863,0.890906842738385,0.896329280026326,0.894973082940234,0.00542243728794174,1.15601694492582,-0.114861449748489,0.0627097631095869,0.261231948439636,0,1,1.5,0.1,1.53996192003819,1.25613637703288,1.18372634543854,1.25613637703288,1.55159884727981,1,Inf,0,1,1,reactive_wrong_sign,0,grid_current_eval_peak_pu=1.256;grid_current_global_peak_pu=1.540;action_max=0.553,0,0,0,continuous_switch_level_run_no_explicit_trip_interface,1,1,0,0,1,,0,connection_status_not_evaluated,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,11.1063898750403
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,fault,lvrt_200ms_0p875pu,fixed_action,0,NaN,0.875,0.875,1,1,0.08,0.28,0.2,0,controller_filtered_lv_pu,0.405,209.433767584304,NaN,NaN,NaN,NaN,214.485622337682,216.416320996312,196.094341755202,196.094341755202,216.416320996312,0,0,0,1,213.560728953918,215.157370988292,703.084970514916,662.508847830913,937.030570377127,0.95,0.08,0.95,0.0799999999999985,0.0399999999999993,0.0219999999999993,0.00199999999999993,1,1,-1,0,0.0800000000000036,0.0400000000000018,0.021999999999999,0.00199999999999987,0.0799999999999986,0.0399999999999993,0.0219999999999994,0.00199999999999996,10001,20251,5001,20251,0.0474833697522011,-0.0757979001190134,0.911540154531803,0.950000000000026,0.0570275989046389,-0.0656765723214578,0.872870335221723,0.950000000000003,0.0474784093859601,-0.0758010123273555,0.915768421223037,0.950000000000022,0.0474833697522011,-0.0757979001190134,0.911540154531803,0.950000000000026,1.03537482431151,1.09654804172143,0.878856213143645,-0.0353748243115149,0.0911784068466096,0.907504937458855,0.958097426258576,1.01939693198237,0.0274651342699704,1.1391544147839,0,0,1.00534732117072,1.04988840640138,0.040213207932179,1.00654831089952,0.329367063293671,0.656234376562344,1.03609736090894,1.09657117106672,0.0210172248270722,0.878223457232968,0.110777844431114,0.887622475504899,LVRT,pcc_phase_a_rms_pu,0.75762903776091,0.859880294410121,0,0,0,0.55762903776091,1,1,pass,0.55762903776091,1,0,0,0,-0,1,0,0,1,0,0,0,1,1,0.125,1,0,1,0.828136059788641,1.17128821297141,1,1,0.723711579228417,0.867675453922035,1,0.00299389046373533,0.998561683756149,1.00108040987654,1.00035622489967,0.00251872612038736,0.958307708110215,0.0410774176852196,0.875269023598144,0.999893187958718,0.999799283388108,0.124624164360574,1,0.00108412132224098,0.999627111608538,0.999845623562864,1.00052704450173,0.000899932893188744,0.80063643141094,0.00324050299884028,0.805060847220471,0.801340881663936,0.799303524789381,0.00575732243109047,0.866131296200675,0.0298845160386689,0.802724856894634,0.900413620340513,0.900906602227041,0.0981817453324071,0.905511609397224,0.000969065939766563,0.906658893517176,0.904780800435643,0.906266410310098,0.00187809308153281,1.00780736495991,-0.0869191227841966,0.0361333345853802,0.156292730541885,0.0333333333333333,1,1.5,0.1,1.45460754445833,1.31876633051554,0.994160395017738,1.31876633051554,1.45418793151701,1,176.82,0,1,1,reactive_wrong_sign,0,grid_current_eval_peak_pu=1.319;grid_current_global_peak_pu=1.455;action_max=0.080,0,0,0,continuous_switch_level_run_no_explicit_trip_interface,1,1,0,0,1,,0,connection_status_not_evaluated,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,8.2355872060726
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,fault,lvrt_200ms_0p875pu,trajectory_action,0,NaN,0.875,0.875,1,1,0.08,0.28,0.2,0,controller_filtered_lv_pu,0.405,209.433767584304,NaN,NaN,NaN,NaN,214.485622337682,216.416320996312,196.094341755202,196.094341755202,216.416320996312,0,0,0,1,213.560728953918,215.157370988292,703.084970514916,662.508847830913,937.030570377127,0.95,0.08,0.95,0.0799999999999985,0.0399999999999993,0.0219999999999993,0.00199999999999993,1,1,-2,0,0.0800000000000036,0.0400000000000018,0.021999999999999,0.00199999999999987,0.0799999999999986,0.0399999999999993,0.0219999999999994,0.00199999999999996,10001,20251,5001,20251,0.0474833697522011,-0.0757979001190134,0.911540154531803,0.950000000000026,0.0570275989046389,-0.0656765723214578,0.872870335221723,0.950000000000003,0.0474784093859601,-0.0758010123273555,0.915768421223037,0.950000000000022,0.0474833697522011,-0.0757979001190134,0.911540154531803,0.950000000000026,1.03537482431151,1.09654804172143,0.878856213143645,-0.0353748243115149,0.0911784068466096,0.907504937458855,0.958097426258576,1.01939693198237,0.0274651342699704,1.1391544147839,0,0,1.00534732117072,1.04988840640138,0.040213207932179,1.00654831089952,0.329367063293671,0.656234376562344,1.03609736090894,1.09657117106672,0.0210172248270722,0.878223457232968,0.110777844431114,0.887622475504899,LVRT,pcc_phase_a_rms_pu,0.75762903776091,0.859880294410121,0,0,0,0.55762903776091,1,1,pass,0.55762903776091,1,0,0,0,-0,1,0,0,1,0,0,0,1,1,0.125,1,0,1,0.828136059788641,1.17128821297141,1,1,0.723711579228417,0.867675453922035,1,0.00299389046373533,0.998561683756149,1.00108040987654,1.00035622489967,0.00251872612038736,0.958307708110215,0.0410774176852196,0.875269023598144,0.999893187958718,0.999799283388108,0.124624164360574,1,0.00108412132224098,0.999627111608538,0.999845623562864,1.00052704450173,0.000899932893188744,0.80063643141094,0.00324050299884028,0.805060847220471,0.801340881663936,0.799303524789381,0.00575732243109047,0.866131296200675,0.0298845160386689,0.802724856894634,0.900413620340513,0.900906602227041,0.0981817453324071,0.905511609397224,0.000969065939766563,0.906658893517176,0.904780800435643,0.906266410310098,0.00187809308153281,1.00780736495991,-0.0869191227841966,0.0361333345853802,0.156292730541885,0.0333333333333333,1,1.5,0.1,1.45460754445833,1.31876633051554,0.994160395017738,1.31876633051554,1.45418793151701,1,176.82,0,1,1,reactive_wrong_sign,0,grid_current_eval_peak_pu=1.319;grid_current_global_peak_pu=1.455;action_max=0.080,0,0,0,continuous_switch_level_run_no_explicit_trip_interface,1,1,0,0,1,,0,connection_status_not_evaluated,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,8.2355872060726
