validator_schema,model,topology,scenario_type,case_name,mode,guard_enable,grid_V,fault_pu,fault_a_pu,fault_b_pu,fault_c_pu,fault_start_s,fault_clear_s,fault_duration_s,fault_settle_s,lv_metric_source,stop_time_s,lv_mean,lv_a,lv_b,lv_c,lv_unbalance,lv_recovery_mean,lv_peak,lv_min,fault_lv_min,fault_lv_max,fault_lv_band_violation_max_pu,fault_lv_band_violation_mean_pu,fault_lv_band_violation_duration_s,fault_lv_band_pass,recovery_lv_min,recovery_lv_max,vdc_mean,vdc_min,vdc_max,action_max_abs,cmd_action_max_abs,bridge_modulation_abs_max,cmd_m_reg_d_mean,cmd_m_reg_q_mean,cmd_m_energy_d_mean,cmd_m_energy_q_mean,hpt_sac_enable_cmd,hpt_sac_energy_enable_cmd,hpt_sac_policy_mode_cmd,hpt_sac_actor_select_mode_cmd,cmd_m_reg_d_fault_mean,cmd_m_reg_q_fault_mean,cmd_m_energy_d_fault_mean,cmd_m_energy_q_fault_mean,cmd_m_reg_d_recovery_mean,cmd_m_reg_q_recovery_mean,cmd_m_energy_d_recovery_mean,cmd_m_energy_q_recovery_mean,action_fault_sample_count,action_fault_cmd_cols,action_recovery_sample_count,action_recovery_cmd_cols,meas_reg_d_mean,meas_reg_q_mean,meas_energy_d_mean,meas_energy_q_mean,meas_reg_d_fault_mean,meas_reg_q_fault_mean,meas_energy_d_fault_mean,meas_energy_q_fault_mean,meas_reg_d_recovery_mean,meas_reg_q_recovery_mean,meas_energy_d_recovery_mean,meas_energy_q_recovery_mean,reg_d_mean,reg_q_mean,energy_d_mean,energy_q_mean,obs_vpu_mean,obs_vpos_mean,obs_vdcpu_mean,obs_verr_mean,obs_fault_flag_mean,obs_recovery_flag_mean,obs_vpu_pre_mean,obs_vpos_pre_mean,obs_vneg_pre_mean,obs_vdcpu_pre_mean,obs_fault_flag_pre_mean,obs_recovery_flag_pre_mean,obs_vpu_fault_mean,obs_vpos_fault_mean,obs_vneg_fault_mean,obs_vdcpu_fault_mean,obs_fault_flag_fault_mean,obs_recovery_flag_fault_mean,obs_vpu_recovery_mean,obs_vpos_recovery_mean,obs_vneg_recovery_mean,obs_vdcpu_recovery_mean,obs_fault_flag_recovery_mean,obs_recovery_flag_recovery_mean,gbt_category,pcc_assessment_signal,pcc_fault_voltage_min_pu,pcc_fault_voltage_max_pu,pcc_envelope_violation_max_pu,pcc_envelope_violation_mean_pu,pcc_envelope_violation_duration_s,pcc_envelope_margin_min_pu,pcc_envelope_pass,scenario_valid,scenario_valid_reason,gbt_voltage_margin_min,gbt_voltage_envelope_pass,envelope_violation_max_pu,envelope_violation_mean_pu,envelope_violation_duration_s,envelope_margin_min_pu,envelope_pass,load_quality_violation_max_pu,load_quality_violation_duration_s,load_quality_pass,recovery_violation_max_pu,recovery_violation_mean_pu,recovery_violation_duration_s,recovery_envelope_pass,timestep_envelope_pass,gbt_recover_cover_s,gbt_recover_evaluated,gbt_recover_final_dev,gbt_recover_pass,gbt_vdc_pu_min,gbt_vdc_pu_max,gbt_vdc_survive_pass,gbt_action_limit_pass,grid_vpos_pu_min,grid_vpos_pu_mean,source_vpos_seq_pre_pu,source_vneg_seq_pre_pu,source_va_pre_pu,source_vb_pre_pu,source_vc_pre_pu,source_vabc_unbalance_pre_pu,source_vpos_seq_fault_pu,source_vneg_seq_fault_pu,source_va_fault_pu,source_vb_fault_pu,source_vc_fault_pu,source_vabc_unbalance_fault_pu,source_vpos_seq_recovery_pu,source_vneg_seq_recovery_pu,source_va_recovery_pu,source_vb_recovery_pu,source_vc_recovery_pu,source_vabc_unbalance_recovery_pu,grid_vpos_seq_pre_pu,grid_vneg_seq_pre_pu,grid_va_pre_pu,grid_vb_pre_pu,grid_vc_pre_pu,grid_vabc_unbalance_pre_pu,grid_vpos_seq_fault_pu,grid_vneg_seq_fault_pu,grid_va_fault_pu,grid_vb_fault_pu,grid_vc_fault_pu,grid_vabc_unbalance_fault_pu,grid_vpos_seq_recovery_pu,grid_vneg_seq_recovery_pu,grid_va_recovery_pu,grid_vb_recovery_pu,grid_vc_recovery_pu,grid_vabc_unbalance_recovery_pu,grid_id_mean_pu,grid_iq_mean_pu,grid_iq_ref_mean_pu,grid_iq_shortfall_max_pu,grid_iq_met_fraction,grid_iq_wrong_sign,grid_current_limit_pu,grid_current_eval_start_s,grid_current_peak_global_pu,grid_current_peak_fault_pu,grid_current_peak_recovery_pu,grid_current_peak_pu,grid_idq_peak_pu,gbt_reactive_evaluated,gbt_reactive_response_ms,gbt_reactive_response_pass,gbt_grid_current_limit_pass,voltage_survival_current_gate,gbt_reactive_status,gbt_reactive_pass,gbt_limit_status,gbt_certifiable,remained_connected_evaluated,remained_connected,remained_connected_evidence,simulation_completed,equipment_safety_pass,active_power_recovery_evaluated,active_power_recovery_pass,l1_load_voltage_survival_pass,l1_reason,l2_grid_code_ride_through_pass,l2_reason,l3_full_frt_pass,l3_reason,voltage_survival_pass,voltage_survival_reason,full_frt_pass,full_frt_reason,within_window,window_reason,control_score
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,fault,lvrt_120ms_0p825pu,conventional_dq,0,NaN,0.825,0.825,1,1,0.04,0.16,0.12,0,controller_filtered_lv_pu,0.285,203.726153799137,NaN,NaN,NaN,NaN,203.462802016999,209.942235043515,196.634640728912,196.634640728912,209.317688642096,0,0,0,1,197.630704150582,208.527053840063,640.755714311737,532.46128490869,940.97765024545,0.95,0.552642064462243,0.95,-0.00558373382893381,-0.0275361340498282,0,0,1,1,0,0,0.0938320013053133,-0.19697299850122,0,0,-0.00851471580047397,-0.0372122365060294,0,0,6001,14251,5001,14251,0.00546443359365874,0.0277219582644093,-0.442965222616383,0.950000000000019,0.116893950542785,0.187679465458105,0.948741096444156,0.950000000000026,0.008027917160731,0.0373366012898041,-0.288652477825892,0.950000000000022,0.00546443359365874,0.0277219582644093,-0.442965222616383,0.950000000000019,0.980239002601218,1.26304445185683,0.800944642889671,0.0197609973987819,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0.980702621560657,1.1917189125013,0.0708050093927604,1.07927036247295,1,0,0.986113585132675,1.27483231818995,0.0205268165714197,0.857036582725845,1,0,LVRT,pcc_phase_a_rms_pu,0.703305317901203,0.888004425616499,0,0,0,0.503305317901203,1,1,pass,0.503305317901203,1,0,0,0,-0,1,0,0,1,0,0,0,1,1,0.125,1,0,1,0.665576606135863,1.17622206280681,0,1,0.635045362353048,0.865120440399743,NaN,NaN,3.46382422494197e-16,1.22474487139159,1.22474487139159,1.22474487139159,0.941670867472128,0.0584070333354866,0.82497030371595,0.999635878733747,1.00039996983415,0.175429666118201,1,0.00819820865448821,0.99842715006287,1.0040562255691,0.997504046063606,0.00655217950549586,NaN,NaN,0.398513933170275,0.615663971367956,0.97406666876381,0.575552735593535,0.86227899710119,0.0438889023306575,0.774434627107213,0.914918755943974,0.911607290116072,0.140484128836761,0.920857796651638,0.00198582005603805,0.920042944622691,0.922884211906636,0.922604157414671,0.00284126728394488,1.06280480845338,-0.224003102137193,0.0332789315595135,0.30226576665872,0,1,1.5,0.06,1.53177125265647,1.50010310184672,0.977704141084653,1.50010310184672,1.54186013823365,1,Inf,0,0,1,reactive_wrong_sign,0,grid_current_eval_peak_pu=1.500;grid_current_global_peak_pu=1.532;action_max=0.553,0,0,0,continuous_switch_level_run_no_explicit_trip_interface,1,0,0,0,0,dc_link_bounds;grid_current_limit,0,l1_load_voltage_survival;connection_status_not_evaluated;equipment_safety,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,0,dc_link_bounds;grid_current_limit,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,0,dc_link_bounds;grid_current_limit,125.211866104588
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,fault,lvrt_120ms_0p825pu,fixed_action,0,NaN,0.825,0.825,1,1,0.04,0.16,0.12,0,controller_filtered_lv_pu,0.285,204.041653448236,NaN,NaN,NaN,NaN,226.244185767251,230.496316819834,192.714120772087,192.714120772087,216.27895170374,0,0,0,1,221.747329968318,230.496316819834,745.037575886197,683.045438525353,908.380729219455,0.95,0.172,0.95,0.171999999999998,0,0.0219999999999996,0.00199999999999999,1,1,-1,0,0.171999999999998,0,0.0219999999999993,0.00199999999999993,0.171999999999998,0,0.0219999999999994,0.00199999999999996,6001,14251,5001,14251,0.146302813050937,-0.0904311161910472,0.947883467231219,0.950000000000019,0.161252353761069,-0.034557390831394,0.950000000000026,0.950000000000026,0.145808964585466,-0.0912107298056647,0.948190303115522,0.950000000000022,0.146302813050937,-0.0904311161910472,0.947883467231219,0.950000000000019,1.09093785348663,1.21267951207685,0.931296969857746,-0.0909378534866335,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0.980313409009052,1.05472348613761,0.0591267636899577,1.07356686887673,0.50074987502083,0.49925012497917,1.09425773151906,1.21320782674993,0.0241854971568304,0.958482078429351,0.99880023995201,0.0011997600479904,LVRT,pcc_phase_a_rms_pu,0.666107116481677,0.82849682792907,0,0,0,0.466107116481677,1,1,pass,0.466107116481677,1,0.0435087769074092,0.0218428907597262,0.0900199999999963,-0.0435087769074092,0,0.0435087769074092,0.0900199999999963,0,0.0435087769074092,0.0218428907597262,0.0900199999999963,0,0,0.125,1,0.0435087769074092,0,0.853806798156691,1.13547591152432,1,1,0.655113554565595,0.79255332285391,NaN,NaN,3.46382422494197e-16,1.22474487139159,1.22474487139159,1.22474487139159,0.941670867382657,0.0584163475330885,0.8249703200902,0.9994038318578,1.00063176587104,0.175661445780836,1,0.00131221356007448,0.999343860779797,1.00031449990886,1.00034131634848,0.000997455568685622,NaN,NaN,0.451860455947958,0.580732661526177,1.09570016618561,0.643839710237654,0.791177568919585,0.0418044580579021,0.703957011816352,0.838414686633097,0.837314058417563,0.134457674816745,0.909705259297843,0.00130269776288022,0.9098066864254,0.909548033302382,0.911777045377879,0.00222901207549778,1.28036577560835,-0.12160748126656,0.119300375786916,0.333221050465053,0.00135961930659415,1,1.5,0.06,1.54564114726516,1.52360573103082,1.17330346268141,1.52360573103082,1.53354877651604,1,85.86,0,0,1,reactive_wrong_sign,0,grid_current_eval_peak_pu=1.524;grid_current_global_peak_pu=1.546;action_max=0.172,0,0,0,continuous_switch_level_run_no_explicit_trip_interface,1,0,0,0,0,timestep_recovery_envelope;grid_current_limit,0,l1_load_voltage_survival;connection_status_not_evaluated;equipment_safety,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,0,timestep_recovery_envelope;grid_current_limit,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,0,timestep_recovery_envelope;grid_current_limit,121.877396674103
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,fault,lvrt_120ms_0p825pu,trajectory_action,0,NaN,0.825,0.825,1,1,0.04,0.16,0.12,0,controller_filtered_lv_pu,0.285,213.653030360131,NaN,NaN,NaN,NaN,202.66889500647,222.618567027431,182.587303164996,182.587303164996,222.618567027431,0,0,0,1,197.746501615922,205.594437322177,486.205619950766,442.130955619024,905.900762730666,0.95,0.188382253050804,0.95,0.120039472758937,-0.0542578390678365,0.0229808901853936,0.00824677429821471,1,1,-2,0,0.169463036676543,-0.0678075867441372,-0.000134782112949869,-0.00435080918207345,0.125999830301178,-0.061347915998246,0.0210749092780931,0.00693694794566554,6001,14251,5001,14251,0.121073892221063,0.0543455127722739,0.71216306031436,0.280601707812423,0.176177667602664,-0.0151869350978513,0.838885497005407,0.950000000000026,0.126942384995009,0.0548835250279501,0.743705252086997,0.346528826857459,0.121073892221063,0.0543455127722739,0.71216306031436,0.280601707812423,0.977423911736725,1.20548923201484,0.607757024938457,0.0225760882632749,1,0,NaN,NaN,NaN,NaN,NaN,NaN,1.00848614227439,1.16058377546452,0.0601964174612863,0.987164274008157,1,0,0.982109087213245,1.20764966256497,0.0250443058016409,0.612573110905384,1,0,LVRT,pcc_phase_a_rms_pu,0.691118529642511,0.826817220276852,0,0,0,0.491118529642511,1,1,pass,0.491118529642511,1,0,0,0,-0,1,0,0,1,0,0,0,1,1,0.125,1,0,1,0.55266369452378,1.13237595341333,0,1,0.660399419140598,0.842145879120761,NaN,NaN,3.46382422494197e-16,1.22474487139159,1.22474487139159,1.22474487139159,0.941720477518162,0.059202036470511,0.824619392684533,1.00019801154444,1.0002631700043,0.175643777319772,1,0.00136636794434908,1.00042719441791,1.00024798156707,0.999324473852268,0.00110272056564451,NaN,NaN,0.385079644682116,0.6615656037212,0.950959334739199,0.565879690057082,0.839335120139414,0.0419033283072375,0.752567513501897,0.887677986332733,0.88905357542169,0.136486061919793,0.873811164888904,0.000607637212187694,0.874104752117632,0.875253940732722,0.874031176649895,0.00122276408282641,0.998383301321039,-0.0962632373692742,0.0514208275066182,0.2000612263519,0.448630136986301,1,1.5,0.06,1.46731934920904,1.41637295964296,0.949511718439211,1.41637295964296,1.45171470932893,1,104.66,0,1,1,reactive_wrong_sign,0,grid_current_eval_peak_pu=1.416;grid_current_global_peak_pu=1.467;action_max=0.188,0,0,0,continuous_switch_level_run_no_explicit_trip_interface,1,0,0,0,0,dc_link_bounds,0,l1_load_voltage_survival;connection_status_not_evaluated;equipment_safety,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,0,dc_link_bounds,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,0,dc_link_bounds,130.986180562906
