validator_schema,model,topology,scenario_type,case_name,mode,guard_enable,grid_V,fault_pu,fault_a_pu,fault_b_pu,fault_c_pu,fault_start_s,fault_clear_s,fault_duration_s,fault_settle_s,lv_metric_source,stop_time_s,lv_mean,lv_a,lv_b,lv_c,lv_unbalance,lv_recovery_mean,lv_peak,lv_min,fault_lv_min,fault_lv_max,fault_lv_band_violation_max_pu,fault_lv_band_violation_mean_pu,fault_lv_band_violation_duration_s,fault_lv_band_pass,recovery_lv_min,recovery_lv_max,vdc_mean,vdc_min,vdc_max,action_max_abs,cmd_action_max_abs,bridge_modulation_abs_max,cmd_m_reg_d_mean,cmd_m_reg_q_mean,cmd_m_energy_d_mean,cmd_m_energy_q_mean,hpt_sac_enable_cmd,hpt_sac_energy_enable_cmd,hpt_sac_policy_mode_cmd,hpt_sac_actor_select_mode_cmd,cmd_m_reg_d_fault_mean,cmd_m_reg_q_fault_mean,cmd_m_energy_d_fault_mean,cmd_m_energy_q_fault_mean,cmd_m_reg_d_recovery_mean,cmd_m_reg_q_recovery_mean,cmd_m_energy_d_recovery_mean,cmd_m_energy_q_recovery_mean,action_fault_sample_count,action_fault_cmd_cols,action_recovery_sample_count,action_recovery_cmd_cols,meas_reg_d_mean,meas_reg_q_mean,meas_energy_d_mean,meas_energy_q_mean,meas_reg_d_fault_mean,meas_reg_q_fault_mean,meas_energy_d_fault_mean,meas_energy_q_fault_mean,meas_reg_d_recovery_mean,meas_reg_q_recovery_mean,meas_energy_d_recovery_mean,meas_energy_q_recovery_mean,reg_d_mean,reg_q_mean,energy_d_mean,energy_q_mean,obs_vpu_mean,obs_vpos_mean,obs_vdcpu_mean,obs_verr_mean,obs_fault_flag_mean,obs_recovery_flag_mean,obs_vpu_pre_mean,obs_vpos_pre_mean,obs_vneg_pre_mean,obs_vdcpu_pre_mean,obs_fault_flag_pre_mean,obs_recovery_flag_pre_mean,obs_vpu_fault_mean,obs_vpos_fault_mean,obs_vneg_fault_mean,obs_vdcpu_fault_mean,obs_fault_flag_fault_mean,obs_recovery_flag_fault_mean,obs_vpu_recovery_mean,obs_vpos_recovery_mean,obs_vneg_recovery_mean,obs_vdcpu_recovery_mean,obs_fault_flag_recovery_mean,obs_recovery_flag_recovery_mean,gbt_category,pcc_assessment_signal,pcc_fault_voltage_min_pu,pcc_fault_voltage_max_pu,pcc_envelope_violation_max_pu,pcc_envelope_violation_mean_pu,pcc_envelope_violation_duration_s,pcc_envelope_margin_min_pu,pcc_envelope_pass,scenario_valid,scenario_valid_reason,gbt_voltage_margin_min,gbt_voltage_envelope_pass,envelope_violation_max_pu,envelope_violation_mean_pu,envelope_violation_duration_s,envelope_margin_min_pu,envelope_pass,load_quality_violation_max_pu,load_quality_violation_duration_s,load_quality_pass,recovery_violation_max_pu,recovery_violation_mean_pu,recovery_violation_duration_s,recovery_envelope_pass,timestep_envelope_pass,gbt_recover_cover_s,gbt_recover_evaluated,gbt_recover_final_dev,gbt_recover_pass,gbt_vdc_pu_min,gbt_vdc_pu_max,gbt_vdc_survive_pass,gbt_action_limit_pass,grid_vpos_pu_min,grid_vpos_pu_mean,source_vpos_seq_pre_pu,source_vneg_seq_pre_pu,source_va_pre_pu,source_vb_pre_pu,source_vc_pre_pu,source_vabc_unbalance_pre_pu,source_vpos_seq_fault_pu,source_vneg_seq_fault_pu,source_va_fault_pu,source_vb_fault_pu,source_vc_fault_pu,source_vabc_unbalance_fault_pu,source_vpos_seq_recovery_pu,source_vneg_seq_recovery_pu,source_va_recovery_pu,source_vb_recovery_pu,source_vc_recovery_pu,source_vabc_unbalance_recovery_pu,grid_vpos_seq_pre_pu,grid_vneg_seq_pre_pu,grid_va_pre_pu,grid_vb_pre_pu,grid_vc_pre_pu,grid_vabc_unbalance_pre_pu,grid_vpos_seq_fault_pu,grid_vneg_seq_fault_pu,grid_va_fault_pu,grid_vb_fault_pu,grid_vc_fault_pu,grid_vabc_unbalance_fault_pu,grid_vpos_seq_recovery_pu,grid_vneg_seq_recovery_pu,grid_va_recovery_pu,grid_vb_recovery_pu,grid_vc_recovery_pu,grid_vabc_unbalance_recovery_pu,grid_id_mean_pu,grid_iq_mean_pu,grid_iq_ref_mean_pu,grid_iq_shortfall_max_pu,grid_iq_met_fraction,grid_iq_wrong_sign,grid_current_limit_pu,grid_current_eval_start_s,grid_current_peak_global_pu,grid_current_peak_fault_pu,grid_current_peak_recovery_pu,grid_current_peak_pu,grid_idq_peak_pu,gbt_reactive_evaluated,gbt_reactive_response_ms,gbt_reactive_response_pass,gbt_grid_current_limit_pass,voltage_survival_current_gate,gbt_reactive_status,gbt_reactive_pass,gbt_limit_status,gbt_certifiable,remained_connected_evaluated,remained_connected,remained_connected_evidence,simulation_completed,equipment_safety_pass,active_power_recovery_evaluated,active_power_recovery_pass,l1_load_voltage_survival_pass,l1_reason,l2_grid_code_ride_through_pass,l2_reason,l3_full_frt_pass,l3_reason,voltage_survival_pass,voltage_survival_reason,full_frt_pass,full_frt_reason,within_window,window_reason,control_score
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,fault,lvrt_300ms_0p875pu,conventional_dq,0,NaN,0.875,0.875,1,1,0.08,0.38,0.3,0,controller_filtered_lv_pu,0.505,204.60763048836,NaN,NaN,NaN,NaN,206.571189379285,209.595732942791,200.313539586315,200.313539586315,209.595732942791,0,0,0,1,205.876215041234,207.776472960782,850.913516914308,799.726215904551,977.392340013721,0.95,0.552642064462243,0.95,0.0137356505393729,0.0716440556417587,0,0,1,1,0,0,0.0504273289678096,0.0494298564374261,0,0,0.00611414281550087,0.0722948636753214,0,0,15001,25251,5001,25251,0.0112235367842909,-0.070863048142556,0.95000000000003,0.95000000000003,0.04855266300456,-0.0511708009646522,0.949999999999941,0.949999999999941,0.00559296560308362,-0.0720982970265617,0.950000000000022,0.950000000000022,0.0112235367842909,-0.070863048142556,0.95000000000003,0.95000000000003,0.997140844029037,1.00987818987961,1.06364189614289,0.00285915597096277,0.434134107708553,0.527983104540655,0.993279654463447,1.05229816171143,0.0428511711429307,1.17505828101753,0.1575,0,0.988360651113293,0.981301759785347,0.0428922226553416,1.06365023852799,0.730084661022599,0.266715552296514,0.998095493769996,1.01561035085403,0.0238253633396335,1.06395970288622,0.142771445710858,0.799840031993601,LVRT,pcc_phase_a_rms_pu,0.790602116871301,0.855615254350726,0,0,0,0.590602116871301,1,1,pass,0.590602116871301,1,0,0,0,-0,1,0,0,1,0,0,0,1,1,0.125,1,0,1,0.999657769880689,1.22174042501715,1,1,0.735928637724878,0.864547294325915,1,0.0034057024775411,0.998307580374142,1.00101874982413,1.00067149328242,0.00271116944998832,0.95830655076891,0.04106548072412,0.875281184367278,1.0003380388582,0.999340281195551,0.125056854490926,1,0.00296368490678432,0.999189908021324,1.00147854683452,0.999329899451904,0.00228863881319743,0.802075198023551,0.00577538532842072,0.811748833724809,0.801564408207111,0.805722153111556,0.0101844255176974,0.863910404929871,0.0305862905146081,0.798939635776268,0.900576043935719,0.896490617527287,0.101636408159451,0.894678349949604,0.00339653207657569,0.891959829809316,0.897282591568197,0.897264052789171,0.00532276175888075,1.14695401921724,-0.117268181011854,0.059753083823134,0.261231948439636,0.000648088139987038,1,1.5,0.1,1.53996192003819,1.25613637703288,1.17194633747125,1.25613637703288,1.55159884727981,1,267.58,0,1,1,reactive_wrong_sign,0,grid_current_eval_peak_pu=1.256;grid_current_global_peak_pu=1.540;action_max=0.553,0,0,0,continuous_switch_level_run_no_explicit_trip_interface,1,1,0,0,1,,0,connection_status_not_evaluated,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,11.0135139640566
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,fault,lvrt_300ms_0p875pu,fixed_action,0,NaN,0.875,0.875,1,1,0.08,0.38,0.3,0,controller_filtered_lv_pu,0.505,217.122445424978,NaN,NaN,NaN,NaN,225.042767527003,225.930761155703,201.526579959848,201.526579959848,225.849379285614,0,0,0,1,224.420030125111,225.930761155703,739.775324799579,681.944836999775,910.34505522358,0.95,0.172,0.95,0.172000000000003,0,0.0219999999999991,0.0019999999999999,1,1,-1,0,0.172000000000014,0,0.0220000000000004,0.00199999999999984,0.171999999999998,0,0.0219999999999994,0.00199999999999996,15001,25251,5001,25251,0.146698516300667,-0.0897971244139341,0.948214489910292,0.95000000000003,0.147443905893443,-0.0849072983753009,0.945461067617418,0.949999999999941,0.146660501615783,-0.0898593176207065,0.949303739356039,0.950000000000022,0.146698516300667,-0.0897971244139341,0.948214489910292,0.95000000000003,1.07850766971732,1.12718610312594,0.924719155999474,-0.0785076697173229,0.0248152059134108,0.974920802534319,0.990390089120678,1.00846394616476,0.0274335465943084,1.1076994678671,0.1325,0,1.04384929001073,1.07513158358083,0.0410763134145388,0.985439655871452,0.204386374241717,0.795013665755616,1.08704370626633,1.13578418544609,0.0220347644810339,0.930973073984533,0.0197960407918416,0.98000399920016,LVRT,pcc_phase_a_rms_pu,0.728608707834742,0.861290793520249,0,0,0,0.528608707834742,1,1,pass,0.528608707834742,1,0.0214529524430117,0.0172542920441115,0.0900199999999963,-0.0214529524430117,0,0.0214529524430117,0.0900199999999963,0,0.0214529524430117,0.0172542920441115,0.0900199999999963,0,0,0.125,1,0.0214529524430117,0,0.852431046249719,1.13793131902948,1,1,0.703639330535971,0.860230253043659,1,0.00365393755160626,0.998273639644055,1.00138299413648,1.00034086162971,0.00310935449242566,0.958379240430825,0.0427225311885534,0.874517842634198,1.00028013247423,1.0002706768243,0.125762289840031,1,0.00209956250686252,0.998956509154013,1.00062485211443,1.00041781179156,0.00166834296041653,0.792055137072675,0.0056821861556414,0.797045822979999,0.794280994272147,0.78822075143155,0.00882507154844855,0.85854114897047,0.0295061201928962,0.796149345026272,0.892594603588937,0.893506304315953,0.0973569592896812,0.907814869489737,0.00295273444902988,0.906049068016441,0.907985507042011,0.910944496128266,0.00489542811182514,1.08964694249706,-0.112057082049511,0.0449860106219684,0.25923811810398,0,1,1.5,0.1,1.52809077634715,1.44230134186422,1.08492426596862,1.44230134186422,1.53562363741265,1,Inf,0,1,1,reactive_wrong_sign,0,grid_current_eval_peak_pu=1.442;grid_current_global_peak_pu=1.528;action_max=0.172,0,0,0,continuous_switch_level_run_no_explicit_trip_interface,1,1,0,0,0,timestep_recovery_envelope,0,l1_load_voltage_survival;connection_status_not_evaluated,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,0,timestep_recovery_envelope,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,0,timestep_recovery_envelope,118.758394814778
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,fault,lvrt_300ms_0p875pu,trajectory_action,0,NaN,0.875,0.875,1,1,0.08,0.38,0.3,0,controller_filtered_lv_pu,0.505,208.445148916051,NaN,NaN,NaN,NaN,214.709870683135,216.421437986286,196.131533915614,196.131533915614,216.421437986286,0,0,0,1,214.095106123978,215.17432410418,700.648409728823,651.502755852977,937.05357337707,0.95,0.0877988338470459,0.95,0.0801781110677951,0.0400764584037797,0.0220121200950747,0.00214299547005103,1,1,-2,0,0.0800026649753616,0.0400678983458471,0.0220558989581231,0.0021565171307178,0.0802979085402974,0.0401137920170635,0.0219863529945226,0.00214778400854787,15001,25251,5001,25251,0.0515371526433578,-0.0715601149145896,0.90403979544317,0.95000000000003,0.0608888775833073,-0.0613292839893244,0.872735093946356,0.949999999999941,0.0475088962792267,-0.0761562580439284,0.915156480131203,0.950000000000022,0.0515371526433578,-0.0715601149145896,0.90403979544317,0.95000000000003,1.02873505700622,1.08870016881534,0.875810512161029,-0.0287350570062204,0.271911298838437,0.7259767687434,0.958571291698884,1.01943189861395,0.0263288426482337,1.13911373973996,0.139166666666667,0,1.0031378704291,1.05137841745233,0.0397674289361684,0.953685325159552,0.463435770948603,0.533364442370509,1.03718916686534,1.09717704374677,0.0207303883922936,0.882570362465287,0.0467906418716257,0.9500099980004,LVRT,pcc_phase_a_rms_pu,0.757795599777194,0.857975349419097,0,0,0,0.557795599777194,1,1,pass,0.557795599777194,1,0,0,0,-0,1,0,0,1,0,0,0,1,1,0.125,1,0,1,0.814378444816221,1.17131696672134,1,1,0.723728145680706,0.868908321593188,1,0.00249396374813956,0.9987556185492,1.00054226086622,1.00070095365055,0.00194533510134646,0.958350722861273,0.0420711211045712,0.874817394826801,0.999826173440371,1.0003824081842,0.125565013357399,1,0.00174107068311068,0.999227534747703,1.0000379555359,1.00073394130988,0.00150640656218001,0.800700064311511,0.00346490178305161,0.805283599077547,0.801412920602033,0.79915939074477,0.00612420833277655,0.867448294670237,0.0297071934921844,0.803889294961605,0.900917107125194,0.902575998422362,0.098686703460757,0.90613329411146,0.00105014182470359,0.907538713317681,0.90534421038295,0.906680667974431,0.00219450293473111,0.979897928608265,-0.0627064148368899,0.039780684433068,0.166049637047642,0.0925925925925926,1,1.5,0.1,1.4550337018179,1.32293262542621,0.990858614524344,1.32293262542621,1.45429290218091,1,176.82,0,1,1,reactive_wrong_sign,0,grid_current_eval_peak_pu=1.323;grid_current_global_peak_pu=1.455;action_max=0.088,0,0,0,continuous_switch_level_run_no_explicit_trip_interface,1,1,0,0,1,,0,connection_status_not_evaluated,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,8.4729894017429
