validator_schema,model,topology,scenario_type,case_name,mode,guard_enable,grid_V,fault_pu,fault_a_pu,fault_b_pu,fault_c_pu,fault_start_s,fault_clear_s,fault_duration_s,fault_settle_s,lv_metric_source,stop_time_s,lv_mean,lv_a,lv_b,lv_c,lv_unbalance,lv_recovery_mean,lv_peak,lv_min,fault_lv_min,fault_lv_max,fault_lv_band_violation_max_pu,fault_lv_band_violation_mean_pu,fault_lv_band_violation_duration_s,fault_lv_band_pass,recovery_lv_min,recovery_lv_max,vdc_mean,vdc_min,vdc_max,action_max_abs,cmd_action_max_abs,bridge_modulation_abs_max,cmd_m_reg_d_mean,cmd_m_reg_q_mean,cmd_m_energy_d_mean,cmd_m_energy_q_mean,hpt_sac_enable_cmd,hpt_sac_energy_enable_cmd,hpt_sac_policy_mode_cmd,hpt_sac_actor_select_mode_cmd,cmd_m_reg_d_fault_mean,cmd_m_reg_q_fault_mean,cmd_m_energy_d_fault_mean,cmd_m_energy_q_fault_mean,cmd_m_reg_d_recovery_mean,cmd_m_reg_q_recovery_mean,cmd_m_energy_d_recovery_mean,cmd_m_energy_q_recovery_mean,action_fault_sample_count,action_fault_cmd_cols,action_recovery_sample_count,action_recovery_cmd_cols,meas_reg_d_mean,meas_reg_q_mean,meas_energy_d_mean,meas_energy_q_mean,meas_reg_d_fault_mean,meas_reg_q_fault_mean,meas_energy_d_fault_mean,meas_energy_q_fault_mean,meas_reg_d_recovery_mean,meas_reg_q_recovery_mean,meas_energy_d_recovery_mean,meas_energy_q_recovery_mean,reg_d_mean,reg_q_mean,energy_d_mean,energy_q_mean,obs_vpu_mean,obs_vpos_mean,obs_vdcpu_mean,obs_verr_mean,obs_fault_flag_mean,obs_recovery_flag_mean,obs_vpu_pre_mean,obs_vpos_pre_mean,obs_vneg_pre_mean,obs_vdcpu_pre_mean,obs_fault_flag_pre_mean,obs_recovery_flag_pre_mean,obs_vpu_fault_mean,obs_vpos_fault_mean,obs_vneg_fault_mean,obs_vdcpu_fault_mean,obs_fault_flag_fault_mean,obs_recovery_flag_fault_mean,obs_vpu_recovery_mean,obs_vpos_recovery_mean,obs_vneg_recovery_mean,obs_vdcpu_recovery_mean,obs_fault_flag_recovery_mean,obs_recovery_flag_recovery_mean,gbt_category,pcc_assessment_signal,pcc_fault_voltage_min_pu,pcc_fault_voltage_max_pu,pcc_envelope_violation_max_pu,pcc_envelope_violation_mean_pu,pcc_envelope_violation_duration_s,pcc_envelope_margin_min_pu,pcc_envelope_pass,scenario_valid,scenario_valid_reason,gbt_voltage_margin_min,gbt_voltage_envelope_pass,envelope_violation_max_pu,envelope_violation_mean_pu,envelope_violation_duration_s,envelope_margin_min_pu,envelope_pass,load_quality_violation_max_pu,load_quality_violation_duration_s,load_quality_pass,recovery_violation_max_pu,recovery_violation_mean_pu,recovery_violation_duration_s,recovery_envelope_pass,timestep_envelope_pass,gbt_recover_cover_s,gbt_recover_evaluated,gbt_recover_final_dev,gbt_recover_pass,gbt_vdc_pu_min,gbt_vdc_pu_max,gbt_vdc_survive_pass,gbt_action_limit_pass,grid_vpos_pu_min,grid_vpos_pu_mean,source_vpos_seq_pre_pu,source_vneg_seq_pre_pu,source_va_pre_pu,source_vb_pre_pu,source_vc_pre_pu,source_vabc_unbalance_pre_pu,source_vpos_seq_fault_pu,source_vneg_seq_fault_pu,source_va_fault_pu,source_vb_fault_pu,source_vc_fault_pu,source_vabc_unbalance_fault_pu,source_vpos_seq_recovery_pu,source_vneg_seq_recovery_pu,source_va_recovery_pu,source_vb_recovery_pu,source_vc_recovery_pu,source_vabc_unbalance_recovery_pu,grid_vpos_seq_pre_pu,grid_vneg_seq_pre_pu,grid_va_pre_pu,grid_vb_pre_pu,grid_vc_pre_pu,grid_vabc_unbalance_pre_pu,grid_vpos_seq_fault_pu,grid_vneg_seq_fault_pu,grid_va_fault_pu,grid_vb_fault_pu,grid_vc_fault_pu,grid_vabc_unbalance_fault_pu,grid_vpos_seq_recovery_pu,grid_vneg_seq_recovery_pu,grid_va_recovery_pu,grid_vb_recovery_pu,grid_vc_recovery_pu,grid_vabc_unbalance_recovery_pu,grid_id_mean_pu,grid_iq_mean_pu,grid_iq_ref_mean_pu,grid_iq_shortfall_max_pu,grid_iq_met_fraction,grid_iq_wrong_sign,grid_current_limit_pu,grid_current_eval_start_s,grid_current_peak_global_pu,grid_current_peak_fault_pu,grid_current_peak_recovery_pu,grid_current_peak_pu,grid_idq_peak_pu,gbt_reactive_evaluated,gbt_reactive_response_ms,gbt_reactive_response_pass,gbt_grid_current_limit_pass,voltage_survival_current_gate,gbt_reactive_status,gbt_reactive_pass,gbt_limit_status,gbt_certifiable,remained_connected_evaluated,remained_connected,remained_connected_evidence,simulation_completed,equipment_safety_pass,active_power_recovery_evaluated,active_power_recovery_pass,l1_load_voltage_survival_pass,l1_reason,l2_grid_code_ride_through_pass,l2_reason,l3_full_frt_pass,l3_reason,voltage_survival_pass,voltage_survival_reason,full_frt_pass,full_frt_reason,within_window,window_reason,control_score
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,fault,lvrt_240ms_0p850pu,conventional_dq,0,NaN,0.85,0.85,1,1,0.08,0.32,0.24,0,controller_filtered_lv_pu,0.445,204.154022416973,NaN,NaN,NaN,NaN,206.731258772826,209.675369784299,199.105396916065,199.105396916065,209.675369784299,0,0,0,1,206.006943742482,207.672792914488,850.943435311364,799.726215904551,977.392340013721,0.95,0.552642064462243,0.95,0.00725355403647035,0.0610801956195907,0,0,1,1,0,0,0.0562679395431219,0.0425577942412168,0,0,0.00455169705440337,0.0631197244882432,0,0,12001,22251,5000,22251,0.0052961110881407,-0.0603657870370285,0.950000000000028,0.950000000000028,0.0550657889689896,-0.045342558350221,0.949999999999972,0.949999999999972,0.00324641858262087,-0.0627040509049706,0.950000000000022,0.950000000000022,0.0052961110881407,-0.0603657870370285,0.950000000000028,0.950000000000028,0.998443006833292,1.015875832084,1.06367929413921,0.00155699316670745,0.267076093469143,0.727980826842421,0.993279654463447,1.05229816171143,0.0428511711429307,1.17505828101753,0.1575,0,0.986301021208616,0.974069231325457,0.0483156800156841,1.0636715369668,0.664194650445796,0.333388884259645,0.998743082169963,1.01841698589313,0.0223064608236939,1.06380669656941,0.2124,0.781,LVRT,pcc_phase_a_rms_pu,0.772184215011676,0.850083574461008,0,0,0,0.572184215011676,1,1,pass,0.572184215011676,1,0,0,0,-0,1,0,0,1,0,0,0,1,1,0.125,1,0,1,0.999657769880689,1.22174042501715,1,1,0.725240815855297,0.858004281925707,1,0.0034057024775411,0.998307580374142,1.00101874982413,1.00067149328242,0.00271116944998832,0.950012015095907,0.0502284247949913,0.849897865720906,1.00011380526557,1.00000633899495,0.150215939544666,1,0.00306790177744747,0.99896207564674,1.00149615787565,0.999540002791216,0.00253408222891356,0.802075198023551,0.00577538532842072,0.811748833724809,0.801564408207111,0.805722153111556,0.0101844255176974,0.857264938739478,0.0360088104665453,0.780412599112839,0.900448203779519,0.895866446961965,0.12003560466668,0.897076664795562,0.00164765748271029,0.895919815826382,0.898061559586392,0.899327568608691,0.0034077527823095,1.14469425661936,-0.125895369340562,0.0694181565820127,0.2561481030644,0.000600961538461538,1,1.5,0.1,1.53996192003819,1.28504528420804,1.17217162854717,1.28504528420804,1.55159884727981,1,104.84,0,1,1,reactive_wrong_sign,0,grid_current_eval_peak_pu=1.285;grid_current_global_peak_pu=1.540;action_max=0.553,0,0,0,continuous_switch_level_run_no_explicit_trip_interface,1,1,0,0,1,,0,connection_status_not_evaluated,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,10.8688678846161
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,fault,lvrt_240ms_0p850pu,fixed_action,0,NaN,0.85,0.85,1,1,0.08,0.32,0.24,0,controller_filtered_lv_pu,0.445,209.237925627023,NaN,NaN,NaN,NaN,217.84726459951,218.863216559638,196.40563484416,196.40563484416,216.646043362221,0,0,0,1,216.726548840591,218.863216559638,738.717652732638,668.935635900093,937.638800965931,0.95,0.11,0.95,0.110000000000004,0,0.0219999999999992,0.00199999999999991,1,1,-1,0,0.110000000000008,0,0.0219999999999991,0.00199999999999985,0.11,0,0.0219999999999994,0.00199999999999996,12001,22251,5000,22251,0.0943843036477928,-0.055519248301264,0.867207766388339,0.950000000000028,0.0992119086161092,-0.0398664684482311,0.849560543084618,0.949999999999972,0.0938639720888697,-0.0573545870617041,0.872494956990489,0.950000000000022,0.0943843036477928,-0.055519248301264,0.867207766388339,0.950000000000028,1.04640283984642,1.10107039026071,0.923397065915798,-0.0464028398464201,0.100659077291791,0.898891551827442,0.969709199980005,1.01599102523996,0.0320273500604491,1.13975661339191,0.1325,0,1.00594755527404,1.04457056696274,0.0488066374621503,1.00328297542201,0.42213148904258,0.577118573452212,1.05181739060426,1.10587773338511,0.0260352689386207,0.928953440068193,0.1344,0.865,LVRT,pcc_phase_a_rms_pu,0.73743685553148,0.860215550605882,0,0,0,0.53743685553148,1,1,pass,0.53743685553148,1,0,0,0,-0,1,0,0,1,0,0,0,1,1,0.125,1,0,1,0.836169544875116,1.17204850120741,1,1,0.710045247832252,0.866607188945693,1,0.00299608843858793,0.998573875515774,1.0011118152939,1.00031262534088,0.00253793977812304,0.949977658867291,0.0495772792092674,0.850189880588923,0.999697537420332,1.00007899983792,0.149889119249001,1,0.00389420264524204,1.00172525990728,0.999915825968784,0.99835607106926,0.00336918883802318,0.807640457078904,0.00327871076318718,0.81205034005871,0.807554521786216,0.806961867487674,0.00508847257103585,0.864779106870382,0.0357705418374677,0.788703532488079,0.905820687755388,0.906284591241453,0.117581058753374,0.916663989197711,0.00219762316125311,0.918392799056014,0.918087626009474,0.91511912207875,0.003273676977264,1.01613792649886,-0.114552936818404,0.0411734750897059,0.244573037897961,0,1,1.5,0.1,1.4664678575875,1.33952426326593,1.00850052278318,1.33952426326593,1.47370728258086,1,Inf,0,1,1,reactive_wrong_sign,0,grid_current_eval_peak_pu=1.340;grid_current_global_peak_pu=1.466;action_max=0.110,0,0,0,continuous_switch_level_run_no_explicit_trip_interface,1,1,0,0,1,,0,connection_status_not_evaluated,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,12.399959561225
hpt-frt-gates-v3-gbt19963.1,hpt_v2_topology2_paper,topology2,fault,lvrt_240ms_0p850pu,trajectory_action,0,NaN,0.85,0.85,1,1,0.08,0.32,0.24,0,controller_filtered_lv_pu,0.445,208.26505700471,NaN,NaN,NaN,NaN,215.028705860094,216.566728894182,195.425851776812,195.425851776812,216.07664750555,0,0,0,1,214.033312394082,216.540787458868,695.341115170119,655.630168510719,943.781449552171,0.95,0.11,0.95,0.110000000000004,0.00583582983822645,0.0219999999999992,0.00199999999999991,1,1,-2,0,0.110000000000008,0.0400000000000025,0.0219999999999991,0.00199999999999985,0.11,0,0.0219999999999994,0.00199999999999996,12001,22251,5000,22251,0.092737318429561,-0.0596735332184185,0.879585491613913,0.950000000000028,0.0884001240388412,-0.0707079605614776,0.875145410202327,0.949999999999972,0.0938008204442756,-0.0574578007476624,0.878881946814463,0.950000000000022,0.092737318429561,-0.0596735332184185,0.879585491613913,0.950000000000028,1.03505740467275,1.09936345037037,0.869176393962649,-0.0350574046727521,0.187237866986219,0.812612342720192,0.961638896437194,1.0178696674507,0.0346203805651086,1.13751574028438,0.1475,0,1.0012668003978,1.04492849773269,0.0488433210655862,0.978397784234907,0.665361219898342,0.333388884259645,1.03949921210722,1.10434000829889,0.0266373632757118,0.868279091307974,0.0848,0.915,LVRT,pcc_phase_a_rms_pu,0.735709123936331,0.851251874333909,0,0,0,0.535709123936331,1,1,pass,0.535709123936331,1,0,0,0,-0,1,0,0,1,0,0,0,1,1,0.125,1,0,1,0.819537710638399,1.17972681194021,1,1,0.708723977534128,0.861394193164811,1,0.00277525600363107,0.998773996292759,1.00117602804055,1.00004853142552,0.00240203174778791,0.949975566138816,0.0495363936745112,0.850207663237284,0.999763136905387,0.999992495479857,0.149784832242573,1,0.000585427735387972,1.00015756671654,0.999707537919119,1.00013483109396,0.000450028797418026,0.800721106935905,0.00300012519140398,0.804888292557669,0.801955815002828,0.799230539792858,0.00565775276481086,0.859686795245455,0.0358262484984378,0.783401237458171,0.900491593136981,0.901350275940761,0.117949038482589,0.90959797671738,0.00105502431692391,0.910959284275382,0.909073846143062,0.910308037763722,0.00188543813232044,0.993334284090538,-0.0823525877810919,0.0485605737590136,0.240363752353231,0.00642054574638844,1,1.5,0.1,1.47232791440726,1.323187468626,0.988013719611738,1.323187468626,1.47386248274409,1,207.06,0,1,1,reactive_wrong_sign,0,grid_current_eval_peak_pu=1.323;grid_current_global_peak_pu=1.472;action_max=0.110,0,0,0,continuous_switch_level_run_no_explicit_trip_interface,1,1,0,0,1,,0,connection_status_not_evaluated,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,0,l2_grid_code_ride_through;reactive_wrong_sign;active_power_recovery_not_evaluated,1,,11.47330266709
